Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Foundation,1,Godot foundation,https://trends.google.ca/trends/explore?q=godot+foundation&date=now+7-d&geo=US,"+5,000%",216,TV Show,2024-10-03
Foundation,2,Did the heritage foundation endorse kamala harris,https://trends.google.ca/trends/explore?q=did+the+heritage+foundation+endorse+kamala+harris&date=now+7-d&geo=US,"+4,650%",216,TV Show,2024-10-03
Foundation,3,Marvin edwards heritage foundation,https://trends.google.ca/trends/explore?q=marvin+edwards+heritage+foundation&date=now+7-d&geo=US,"+4,600%",216,TV Show,2024-10-03
Foundation,4,Mickey edwards,https://trends.google.ca/trends/explore?q=mickey+edwards&date=now+7-d&geo=US,"+4,400%",216,TV Show,2024-10-03
Foundation,5,Mickey edwards heritage foundation,https://trends.google.ca/trends/explore?q=mickey+edwards+heritage+foundation&date=now+7-d&geo=US,"+4,100%",216,TV Show,2024-10-03
Foundation,6,Mickey edwards project 2025,https://trends.google.ca/trends/explore?q=mickey+edwards+project+2025&date=now+7-d&geo=US,"+2,850%",216,TV Show,2024-10-03
Foundation,7,Heritage foundation endorsement,https://trends.google.ca/trends/explore?q=heritage+foundation+endorsement&date=now+7-d&geo=US,"+2,750%",216,TV Show,2024-10-03
Foundation,8,Morgan nick foundation,https://trends.google.ca/trends/explore?q=morgan+nick+foundation&date=now+7-d&geo=US,"+1,150%",216,TV Show,2024-10-03
Foundation,9,Tony stewart foundation,https://trends.google.ca/trends/explore?q=tony+stewart+foundation&date=now+7-d&geo=US,+700%,216,TV Show,2024-10-03
Foundation,10,East tennessee foundation,https://trends.google.ca/trends/explore?q=east+tennessee+foundation&date=now+7-d&geo=US,+650%,216,TV Show,2024-10-03
Foundation,11,Zach rushing foundation,https://trends.google.ca/trends/explore?q=zach+rushing+foundation&date=now+7-d&geo=US,+550%,216,TV Show,2024-10-03
Foundation,12,John ritter foundation,https://trends.google.ca/trends/explore?q=john+ritter+foundation&date=now+7-d&geo=US,+450%,216,TV Show,2024-10-03
Foundation,13,Clooney foundation for justice,https://trends.google.ca/trends/explore?q=clooney+foundation+for+justice&date=now+7-d&geo=US,+400%,216,TV Show,2024-10-03
Foundation,14,Sptv foundation,https://trends.google.ca/trends/explore?q=sptv+foundation&date=now+7-d&geo=US,+400%,216,TV Show,2024-10-03
Foundation,15,Feminist majority foundation,https://trends.google.ca/trends/explore?q=feminist+majority+foundation&date=now+7-d&geo=US,+350%,216,TV Show,2024-10-03
Foundation,16,Lys foundation stick,https://trends.google.ca/trends/explore?q=lys+foundation+stick&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Foundation,17,Bissell pet foundation,https://trends.google.ca/trends/explore?q=bissell+pet+foundation&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Foundation,18,Community foundation locator,https://trends.google.ca/trends/explore?q=community+foundation+locator&date=now+7-d&geo=US,+180%,216,TV Show,2024-10-03
Foundation,19,Southern smoke foundation,https://trends.google.ca/trends/explore?q=southern+smoke+foundation&date=now+7-d&geo=US,+180%,216,TV Show,2024-10-03
Foundation,20,Black and missing foundation,https://trends.google.ca/trends/explore?q=black+and+missing+foundation&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-03
Foundation,21,Marciano art foundation,https://trends.google.ca/trends/explore?q=marciano+art+foundation&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Foundation,22,First street foundation,https://trends.google.ca/trends/explore?q=first+street+foundation&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Foundation,23,Macarthur foundation,https://trends.google.ca/trends/explore?q=macarthur+foundation&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Foundation,24,Immune deficiency foundation,https://trends.google.ca/trends/explore?q=immune+deficiency+foundation&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Foundation,25,Huda beauty easy blur foundation,https://trends.google.ca/trends/explore?q=huda+beauty+easy+blur+foundation&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
