Query,Line Number,Seed,Link,Rising Value,Date
 Friends,1,Kenny friends south park,https://trends.google.ca/trends/explore?q=kenny+friends+south+park&date=now+7-d&geo=CA,Breakout,2024-10-01
 Friends,2,Make amends,https://trends.google.ca/trends/explore?q=make+amends&date=now+7-d&geo=CA,Breakout,2024-10-01
 Friends,3,Mountain bike brands,https://trends.google.ca/trends/explore?q=mountain+bike+brands&date=now+7-d&geo=CA,Breakout,2024-10-01
 Friends,4,Southpark friends,https://trends.google.ca/trends/explore?q=southpark+friends&date=now+7-d&geo=CA,Breakout,2024-10-01
 Friends,5,Mission for a scout for short,https://trends.google.ca/trends/explore?q=mission+for+a+scout+for+short&date=now+7-d&geo=CA,"+4,500%",2024-10-01
 Friends,6,Make amends nyt,https://trends.google.ca/trends/explore?q=make+amends+nyt&date=now+7-d&geo=CA,"+4,000%",2024-10-01
 Friends,7,South park characters,https://trends.google.ca/trends/explore?q=south+park+characters&date=now+7-d&geo=CA,"+3,850%",2024-10-01
 Friends,8,Jewel friends,https://trends.google.ca/trends/explore?q=jewel+friends&date=now+7-d&geo=CA,"+1,600%",2024-10-01
 Friends,9,South park friends,https://trends.google.ca/trends/explore?q=south+park+friends&date=now+7-d&geo=CA,"+1,600%",2024-10-01
 Friends,10,South park,https://trends.google.ca/trends/explore?q=south+park&date=now+7-d&geo=CA,"+1,350%",2024-10-01
 Friends,11,South park cast,https://trends.google.ca/trends/explore?q=south+park+cast&date=now+7-d&geo=CA,"+1,300%",2024-10-01
 Friends,12,Alternative to yahoo or aol,https://trends.google.ca/trends/explore?q=alternative+to+yahoo+or+aol&date=now+7-d&geo=CA,"+1,250%",2024-10-01
 Friends,13,South park friends list,https://trends.google.ca/trends/explore?q=south+park+friends+list&date=now+7-d&geo=CA,+450%,2024-10-01
 Friends,14,Friends of kananaskis,https://trends.google.ca/trends/explore?q=friends+of+kananaskis&date=now+7-d&geo=CA,+400%,2024-10-01
 Friends,15,Charlie brown friends,https://trends.google.ca/trends/explore?q=charlie+brown+friends&date=now+7-d&geo=CA,+300%,2024-10-01
 Friends,16,Cd,https://trends.google.ca/trends/explore?q=cd&date=now+7-d&geo=CA,+300%,2024-10-01
 Friends,17,National best friends day,https://trends.google.ca/trends/explore?q=national+best+friends+day&date=now+7-d&geo=CA,+170%,2024-10-01
 Friends,18,Dermot mulroney,https://trends.google.ca/trends/explore?q=dermot+mulroney&date=now+7-d&geo=CA,+120%,2024-10-01
 Friends,19,Best friends whenever,https://trends.google.ca/trends/explore?q=best+friends+whenever&date=now+7-d&geo=CA,+110%,2024-10-01
