Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Furiosa: A Mad Max Saga,1,George miller,https://trends.google.ca/trends/explore?q=george+miller&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-01
Furiosa: A Mad Max Saga,2,Megalopolis,https://trends.google.ca/trends/explore?q=megalopolis&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-01
Furiosa: A Mad Max Saga,3,I saw the tv glow,https://trends.google.ca/trends/explore?q=i+saw+the+tv+glow&date=now+7-d&geo=US,+200%,154,Movie,2024-10-01
Furiosa: A Mad Max Saga,4,Elsa pataky mr norton,https://trends.google.ca/trends/explore?q=elsa+pataky+mr+norton&date=now+7-d&geo=US,+190%,154,Movie,2024-10-01
Furiosa: A Mad Max Saga,5,The fall guy,https://trends.google.ca/trends/explore?q=the+fall+guy&date=now+7-d&geo=US,+120%,154,Movie,2024-10-01
Furiosa: A Mad Max Saga,6,Sean millis,https://trends.google.ca/trends/explore?q=sean+millis&date=now+7-d&geo=US,+70%,154,Movie,2024-10-01
Furiosa: A Mad Max Saga,7,Dr dementus,https://trends.google.ca/trends/explore?q=dr+dementus&date=now+7-d&geo=US,+70%,154,Movie,2024-10-01
Furiosa: A Mad Max Saga,8,Mad fury road 2,https://trends.google.ca/trends/explore?q=mad+fury+road+2&date=now+7-d&geo=US,+60%,154,Movie,2024-10-01
Furiosa: A Mad Max Saga,9,New mad max movie,https://trends.google.ca/trends/explore?q=new+mad+max+movie&date=now+7-d&geo=US,+60%,154,Movie,2024-10-01
Furiosa: A Mad Max Saga,10,Furiosa a mad max saga box office,https://trends.google.ca/trends/explore?q=furiosa+a+mad+max+saga+box+office&date=now+7-d&geo=US,+50%,154,Movie,2024-10-01
Furiosa: A Mad Max Saga,11,Furiosa a mad max saga immortan joe,https://trends.google.ca/trends/explore?q=furiosa+a+mad+max+saga+immortan+joe&date=now+7-d&geo=US,+40%,154,Movie,2024-10-01
