Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Game Of Thrones,1,Killer heat,https://trends.google.ca/trends/explore?q=killer+heat&date=now+7-d&geo=US,"+3,200%",216,TV Show,2024-10-03
Game Of Thrones,2,Maggie smith game of thrones,https://trends.google.ca/trends/explore?q=maggie+smith+game+of+thrones&date=now+7-d&geo=US,"+2,450%",216,TV Show,2024-10-03
Game Of Thrones,3,Stark daughter on game of thrones,https://trends.google.ca/trends/explore?q=stark+daughter+on+game+of+thrones&date=now+7-d&geo=US,"+1,000%",216,TV Show,2024-10-03
Game Of Thrones,4,Game of thrones new covers,https://trends.google.ca/trends/explore?q=game+of+thrones+new+covers&date=now+7-d&geo=US,+550%,216,TV Show,2024-10-03
Game Of Thrones,5,Robert aramayo game of thrones,https://trends.google.ca/trends/explore?q=robert+aramayo+game+of+thrones&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Game Of Thrones,6,Robert aramayo game of thrones character,https://trends.google.ca/trends/explore?q=robert+aramayo+game+of+thrones+character&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Game Of Thrones,7,Robert aramayo,https://trends.google.ca/trends/explore?q=robert+aramayo&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-03
Game Of Thrones,8,Tysha game of thrones,https://trends.google.ca/trends/explore?q=tysha+game+of+thrones&date=now+7-d&geo=US,+150%,216,TV Show,2024-10-03
Game Of Thrones,9,Richard madden game of thrones,https://trends.google.ca/trends/explore?q=richard+madden+game+of+thrones&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
Game Of Thrones,10,Richard madden,https://trends.google.ca/trends/explore?q=richard+madden&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
Game Of Thrones,11,Game of thrones book set,https://trends.google.ca/trends/explore?q=game+of+thrones+book+set&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Game Of Thrones,12,Nathalie emmanuel game of thrones,https://trends.google.ca/trends/explore?q=nathalie+emmanuel+game+of+thrones&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Game Of Thrones,13,Nathalie emmanuel,https://trends.google.ca/trends/explore?q=nathalie+emmanuel&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
