Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
 Ghostbusters: Afterlife,1,Casper,https://trends.google.ca/trends/explore?q=casper&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Ghostbusters: Afterlife,2,Young sheldon,https://trends.google.ca/trends/explore?q=young+sheldon&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Ghostbusters: Afterlife,3,Captain marvel,https://trends.google.ca/trends/explore?q=captain+marvel&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Ghostbusters: Afterlife,4,Young sheldon cast,https://trends.google.ca/trends/explore?q=young+sheldon+cast&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Ghostbusters: Afterlife,5,Where is ghostbusters afterlife streaming,https://trends.google.ca/trends/explore?q=where+is+ghostbusters+afterlife+streaming&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Ghostbusters: Afterlife,6,Hotel transylvania,https://trends.google.ca/trends/explore?q=hotel+transylvania&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Ghostbusters: Afterlife,7,Ernie hudson,https://trends.google.ca/trends/explore?q=ernie+hudson&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Ghostbusters: Afterlife,8,Freeform,https://trends.google.ca/trends/explore?q=freeform&date=now+7-d&geo=US,+500%,154,Movie,2024-10-03
 Ghostbusters: Afterlife,9,Watch ghostbusters 2020,https://trends.google.ca/trends/explore?q=watch+ghostbusters+2020&date=now+7-d&geo=US,+450%,154,Movie,2024-10-03
 Ghostbusters: Afterlife,10,Emily alyn lind,https://trends.google.ca/trends/explore?q=emily+alyn+lind&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
 Ghostbusters: Afterlife,11,Ghost buster movies,https://trends.google.ca/trends/explore?q=ghost+buster+movies&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
 Ghostbusters: Afterlife,12,Phoebe spengler,https://trends.google.ca/trends/explore?q=phoebe+spengler&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
 Ghostbusters: Afterlife,13,Hocus pocus,https://trends.google.ca/trends/explore?q=hocus+pocus&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
 Ghostbusters: Afterlife,14,Goosebumps,https://trends.google.ca/trends/explore?q=goosebumps&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
 Ghostbusters: Afterlife,15,Ghostbusters girls,https://trends.google.ca/trends/explore?q=ghostbusters+girls&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
 Ghostbusters: Afterlife,16,Ghost buster cast,https://trends.google.ca/trends/explore?q=ghost+buster+cast&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
 Ghostbusters: Afterlife,17,Ghostbusters afterlife trailer,https://trends.google.ca/trends/explore?q=ghostbusters+afterlife+trailer&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
 Ghostbusters: Afterlife,18,Ghostbusters melissa mccarthy,https://trends.google.ca/trends/explore?q=ghostbusters+melissa+mccarthy&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
 Ghostbusters: Afterlife,19,Ghostbuster,https://trends.google.ca/trends/explore?q=ghostbuster&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
 Ghostbusters: Afterlife,20,Where was ghostbusters afterlife filmed,https://trends.google.ca/trends/explore?q=where+was+ghostbusters+afterlife+filmed&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
