Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
GI Joe,1,Gi joe classified cobra commander,https://trends.google.ca/trends/explore?q=gi+joe+classified+cobra+commander&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
GI Joe,2,Gi joe rapper,https://trends.google.ca/trends/explore?q=gi+joe+rapper&date=now+1-d&geo=US,+550%,217,Franchise,2024-10-02
GI Joe,3,Gi jo,https://trends.google.ca/trends/explore?q=gi+jo&date=now+1-d&geo=US,+350%,217,Franchise,2024-10-02
GI Joe,4,Gi joe dolls,https://trends.google.ca/trends/explore?q=gi+joe+dolls&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
GI Joe,5,Firefly gi joe,https://trends.google.ca/trends/explore?q=firefly+gi+joe&date=now+1-d&geo=US,+130%,217,Franchise,2024-10-02
GI Joe,6,Gi joe classified checklist,https://trends.google.ca/trends/explore?q=gi+joe+classified+checklist&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
GI Joe,7,Gi joe retaliation cast,https://trends.google.ca/trends/explore?q=gi+joe+retaliation+cast&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
GI Joe,8,Gi joe movies in order,https://trends.google.ca/trends/explore?q=gi+joe+movies+in+order&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
GI Joe,9,Gi joe aircraft carrier,https://trends.google.ca/trends/explore?q=gi+joe+aircraft+carrier&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
GI Joe,10,Gi joe baroness,https://trends.google.ca/trends/explore?q=gi+joe+baroness&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
GI Joe,11,Gi joe action figures,https://trends.google.ca/trends/explore?q=gi+joe+action+figures&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
GI Joe,12,Gi joe logo,https://trends.google.ca/trends/explore?q=gi+joe+logo&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
