Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Glee,1,When did glee end,https://trends.google.ca/trends/explore?q=when+did+glee+end&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Glee,2,Who does rachel end up with in glee,https://trends.google.ca/trends/explore?q=who+does+rachel+end+up+with+in+glee&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Glee,3,Finneas glee,https://trends.google.ca/trends/explore?q=finneas+glee&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Glee,4,Finn from glee,https://trends.google.ca/trends/explore?q=finn+from+glee&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Glee,5,Matt bomer,https://trends.google.ca/trends/explore?q=matt+bomer&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Glee,6,Which glee character are you,https://trends.google.ca/trends/explore?q=which+glee+character+are+you&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Glee,7,Blaine glee actor,https://trends.google.ca/trends/explore?q=blaine+glee+actor&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Glee,8,Glee meaning in english,https://trends.google.ca/trends/explore?q=glee+meaning+in+english&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Glee,9,Cooper anderson glee,https://trends.google.ca/trends/explore?q=cooper+anderson+glee&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Glee,10,Blake jenner,https://trends.google.ca/trends/explore?q=blake+jenner&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Glee,11,Glee cast where are they now,https://trends.google.ca/trends/explore?q=glee+cast+where+are+they+now&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Glee,12,Lauren potter,https://trends.google.ca/trends/explore?q=lauren+potter&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Glee,13,Billie eilish,https://trends.google.ca/trends/explore?q=billie+eilish&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Glee,14,Crazy rich asians,https://trends.google.ca/trends/explore?q=crazy+rich+asians&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Glee,15,Glee reboot,https://trends.google.ca/trends/explore?q=glee+reboot&date=now+1-d&geo=US,+500%,216,TV Show,2024-10-02
Glee,16,Glee cheerleader costume,https://trends.google.ca/trends/explore?q=glee+cheerleader+costume&date=now+1-d&geo=US,+200%,216,TV Show,2024-10-02
Glee,17,Rory glee,https://trends.google.ca/trends/explore?q=rory+glee&date=now+1-d&geo=US,+180%,216,TV Show,2024-10-02
Glee,18,Glee quiz,https://trends.google.ca/trends/explore?q=glee+quiz&date=now+1-d&geo=US,+180%,216,TV Show,2024-10-02
Glee,19,Heather morris,https://trends.google.ca/trends/explore?q=heather+morris&date=now+1-d&geo=US,+170%,216,TV Show,2024-10-02
Glee,20,Becky glee,https://trends.google.ca/trends/explore?q=becky+glee&date=now+1-d&geo=US,+160%,216,TV Show,2024-10-02
Glee,21,Amber riley,https://trends.google.ca/trends/explore?q=amber+riley&date=now+1-d&geo=US,+160%,216,TV Show,2024-10-02
Glee,22,Idina menzel,https://trends.google.ca/trends/explore?q=idina+menzel&date=now+1-d&geo=US,+120%,216,TV Show,2024-10-02
Glee,23,What is glee club,https://trends.google.ca/trends/explore?q=what+is+glee+club&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Glee,24,Harry shum jr,https://trends.google.ca/trends/explore?q=harry+shum+jr&date=now+1-d&geo=US,+90%,216,TV Show,2024-10-02
Glee,25,Glee where to watch,https://trends.google.ca/trends/explore?q=glee+where+to+watch&date=now+1-d&geo=US,+90%,216,TV Show,2024-10-02
