Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
God of War,1,Permitted crossword clue,https://trends.google.ca/trends/explore?q=permitted+crossword+clue&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
God of War,2,Which month is named after the roman god of war,https://trends.google.ca/trends/explore?q=which+month+is+named+after+the+roman+god+of+war&date=now+7-d&geo=US,"+1,500%",217,Franchise,2024-10-03
God of War,3,How did kratos get to midgard,https://trends.google.ca/trends/explore?q=how+did+kratos+get+to+midgard&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
God of War,4,Ghost of tsushima god of war armor,https://trends.google.ca/trends/explore?q=ghost+of+tsushima+god+of+war+armor&date=now+7-d&geo=US,+170%,217,Franchise,2024-10-03
God of War,5,Mystical heirloom god of war,https://trends.google.ca/trends/explore?q=mystical+heirloom+god+of+war&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-03
God of War,6,Path of destruction god of war,https://trends.google.ca/trends/explore?q=path+of+destruction+god+of+war&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
God of War,7,Best runic attacks god of war ragnarok,https://trends.google.ca/trends/explore?q=best+runic+attacks+god+of+war+ragnarok&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
God of War,8,The lost treasury god of war ragnarok,https://trends.google.ca/trends/explore?q=the+lost+treasury+god+of+war+ragnarok&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
God of War,9,Santa monica studio,https://trends.google.ca/trends/explore?q=santa+monica+studio&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
God of War,10,Vanaheim god of war,https://trends.google.ca/trends/explore?q=vanaheim+god+of+war&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
God of War,11,Calliope god of war,https://trends.google.ca/trends/explore?q=calliope+god+of+war&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
God of War,12,God of war crossword clue,https://trends.google.ca/trends/explore?q=god+of+war+crossword+clue&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
God of War,13,Gna god of war,https://trends.google.ca/trends/explore?q=gna+god+of+war&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
God of War,14,God of war ragnarok muspelheim,https://trends.google.ca/trends/explore?q=god+of+war+ragnarok+muspelheim&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
God of War,15,How did faye die god of war,https://trends.google.ca/trends/explore?q=how+did+faye+die+god+of+war&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
God of War,16,Angrboda god of war,https://trends.google.ca/trends/explore?q=angrboda+god+of+war&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
God of War,17,Mina sundwall,https://trends.google.ca/trends/explore?q=mina+sundwall&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
God of War,18,Freyr god of war,https://trends.google.ca/trends/explore?q=freyr+god+of+war&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
God of War,19,Angrboda,https://trends.google.ca/trends/explore?q=angrboda&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
God of War,20,Surtr god of war,https://trends.google.ca/trends/explore?q=surtr+god+of+war&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
God of War,21,God of war ragnarok armor sets,https://trends.google.ca/trends/explore?q=god+of+war+ragnarok+armor+sets&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
God of War,22,How many god of war games are there,https://trends.google.ca/trends/explore?q=how+many+god+of+war+games+are+there&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
God of War,23,God of war ragnarok best shield,https://trends.google.ca/trends/explore?q=god+of+war+ragnarok+best+shield&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
God of War,24,God of war ragnarok interactive map,https://trends.google.ca/trends/explore?q=god+of+war+ragnarok+interactive+map&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
God of War,25,God of war ragnarok niflheim,https://trends.google.ca/trends/explore?q=god+of+war+ragnarok+niflheim&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
