Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Godzilla Minus One,1,Godzilla whiskey,https://trends.google.ca/trends/explore?q=godzilla+whiskey&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Godzilla Minus One,2,Deadpool and wolverine steelbook,https://trends.google.ca/trends/explore?q=deadpool+and+wolverine+steelbook&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Godzilla Minus One,3,Civil war movie,https://trends.google.ca/trends/explore?q=civil+war+movie&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Godzilla Minus One,4,When did godzilla minus one release,https://trends.google.ca/trends/explore?q=when+did+godzilla+minus+one+release&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Godzilla Minus One,5,Bigbadtoystore,https://trends.google.ca/trends/explore?q=bigbadtoystore&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Godzilla Minus One,6,Ghostbusters frozen empire,https://trends.google.ca/trends/explore?q=ghostbusters+frozen+empire&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Godzilla Minus One,7,Godzilla minus one tattoo on neck,https://trends.google.ca/trends/explore?q=godzilla+minus+one+tattoo+on+neck&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Godzilla Minus One,8,Midsommar,https://trends.google.ca/trends/explore?q=midsommar&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Godzilla Minus One,9,When is godzilla minus one coming out on dvd,https://trends.google.ca/trends/explore?q=when+is+godzilla+minus+one+coming+out+on+dvd&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Godzilla Minus One,10,Shin sonic,https://trends.google.ca/trends/explore?q=shin+sonic&date=now+7-d&geo=US,"+4,850%",154,Movie,2024-10-03
Godzilla Minus One,11,Monarch legacy of monsters,https://trends.google.ca/trends/explore?q=monarch+legacy+of+monsters&date=now+7-d&geo=US,"+4,600%",154,Movie,2024-10-03
