Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Goodfellas,1,Lorraine bracco goodfellas,https://trends.google.ca/trends/explore?q=lorraine+bracco+goodfellas&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Goodfellas,2,Goodfellas summary,https://trends.google.ca/trends/explore?q=goodfellas+summary&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Goodfellas,3,Goodfellas otr,https://trends.google.ca/trends/explore?q=goodfellas+otr&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Goodfellas,4,Pulp fiction,https://trends.google.ca/trends/explore?q=pulp+fiction&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Goodfellas,5,Goodfellas debary,https://trends.google.ca/trends/explore?q=goodfellas+debary&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Goodfellas,6,Donnie brasco,https://trends.google.ca/trends/explore?q=donnie+brasco&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Goodfellas,7,Reservoir dogs,https://trends.google.ca/trends/explore?q=reservoir+dogs&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Goodfellas,8,Killers of the flower moon,https://trends.google.ca/trends/explore?q=killers+of+the+flower+moon&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Goodfellas,9,No country for old men,https://trends.google.ca/trends/explore?q=no+country+for+old+men&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Goodfellas,10,Goodfellas lucki,https://trends.google.ca/trends/explore?q=goodfellas+lucki&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Goodfellas,11,Goodfellas haircut,https://trends.google.ca/trends/explore?q=goodfellas+haircut&date=now+1-d&geo=US,+250%,154,Movie,2024-10-02
Goodfellas,12,Shawshank redemption,https://trends.google.ca/trends/explore?q=shawshank+redemption&date=now+1-d&geo=US,+250%,154,Movie,2024-10-02
Goodfellas,13,Karen hill goodfellas,https://trends.google.ca/trends/explore?q=karen+hill+goodfellas&date=now+1-d&geo=US,+160%,154,Movie,2024-10-02
Goodfellas,14,Lorraine bracco,https://trends.google.ca/trends/explore?q=lorraine+bracco&date=now+1-d&geo=US,+120%,154,Movie,2024-10-02
Goodfellas,15,Taxi driver,https://trends.google.ca/trends/explore?q=taxi+driver&date=now+1-d&geo=US,+120%,154,Movie,2024-10-02
Goodfellas,16,Robert de niro,https://trends.google.ca/trends/explore?q=robert+de+niro&date=now+1-d&geo=US,+110%,154,Movie,2024-10-02
Goodfellas,17,Goodfellas auto,https://trends.google.ca/trends/explore?q=goodfellas+auto&date=now+1-d&geo=US,+100%,154,Movie,2024-10-02
Goodfellas,18,The sopranos,https://trends.google.ca/trends/explore?q=the+sopranos&date=now+1-d&geo=US,+90%,154,Movie,2024-10-02
Goodfellas,19,Michael imperioli,https://trends.google.ca/trends/explore?q=michael+imperioli&date=now+1-d&geo=US,+80%,154,Movie,2024-10-02
Goodfellas,20,Goodfellas elkton va,https://trends.google.ca/trends/explore?q=goodfellas+elkton+va&date=now+1-d&geo=US,+70%,154,Movie,2024-10-02
Goodfellas,21,Goodfellas dog painting,https://trends.google.ca/trends/explore?q=goodfellas+dog+painting&date=now+1-d&geo=US,+70%,154,Movie,2024-10-02
Goodfellas,22,Goodfellas bar,https://trends.google.ca/trends/explore?q=goodfellas+bar&date=now+1-d&geo=US,+70%,154,Movie,2024-10-02
Goodfellas,23,Billy batts goodfellas,https://trends.google.ca/trends/explore?q=billy+batts+goodfellas&date=now+1-d&geo=US,+60%,154,Movie,2024-10-02
Goodfellas,24,Goodfellas streaming service,https://trends.google.ca/trends/explore?q=goodfellas+streaming+service&date=now+1-d&geo=US,+60%,154,Movie,2024-10-02
Goodfellas,25,Goodfellas bar and grill,https://trends.google.ca/trends/explore?q=goodfellas+bar+and+grill&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
