Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Grace and Frankie,1,June diane raphael movies and tv shows,https://trends.google.ca/trends/explore?q=june+diane+raphael+movies+and+tv+shows&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Grace and Frankie,2,How many episodes in season 7 of grace and frankie,https://trends.google.ca/trends/explore?q=how+many+episodes+in+season+7+of+grace+and+frankie&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Grace and Frankie,3,Paul scheer,https://trends.google.ca/trends/explore?q=paul+scheer&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Grace and Frankie,4,Peter cambor,https://trends.google.ca/trends/explore?q=peter+cambor&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Grace and Frankie,5,Where was grace and frankie filmed,https://trends.google.ca/trends/explore?q=where+was+grace+and+frankie+filmed&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Grace and Frankie,6,How old is jane fonda,https://trends.google.ca/trends/explore?q=how+old+is+jane+fonda&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Grace and Frankie,7,Is grace and frankie over,https://trends.google.ca/trends/explore?q=is+grace+and+frankie+over&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Grace and Frankie,8,Jane fonda net worth,https://trends.google.ca/trends/explore?q=jane+fonda+net+worth&date=now+7-d&geo=US,+170%,216,TV Show,2024-10-03
Grace and Frankie,9,Serie grace and frankie,https://trends.google.ca/trends/explore?q=serie+grace+and+frankie&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
Grace and Frankie,10,Dolly parton,https://trends.google.ca/trends/explore?q=dolly+parton&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Grace and Frankie,11,Jane fonda movies and tv shows,https://trends.google.ca/trends/explore?q=jane+fonda+movies+and+tv+shows&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
Grace and Frankie,12,Coyote grace and frankie,https://trends.google.ca/trends/explore?q=coyote+grace+and+frankie&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Grace and Frankie,13,New girl,https://trends.google.ca/trends/explore?q=new+girl&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Grace and Frankie,14,Barry grace and frankie,https://trends.google.ca/trends/explore?q=barry+grace+and+frankie&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Grace and Frankie,15,Grace and frankie ending,https://trends.google.ca/trends/explore?q=grace+and+frankie+ending&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Grace and Frankie,16,Grace and frankie season 1,https://trends.google.ca/trends/explore?q=grace+and+frankie+season+1&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Grace and Frankie,17,Law and order,https://trends.google.ca/trends/explore?q=law+and+order&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Grace and Frankie,18,Baron vaughn,https://trends.google.ca/trends/explore?q=baron+vaughn&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Grace and Frankie,19,Lily tomlin movies and tv shows,https://trends.google.ca/trends/explore?q=lily+tomlin+movies+and+tv+shows&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Grace and Frankie,20,Brooklyn decker,https://trends.google.ca/trends/explore?q=brooklyn+decker&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
Grace and Frankie,21,Jane fonda and lily tomlin,https://trends.google.ca/trends/explore?q=jane+fonda+and+lily+tomlin&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
