Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Grand Theft Auto,1,Rockstar games stock,https://trends.google.ca/trends/explore?q=rockstar+games+stock&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Grand Theft Auto,2,Grand theft auto murder city,https://trends.google.ca/trends/explore?q=grand+theft+auto+murder+city&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Grand Theft Auto,3,When did grand theft auto san andreas come out,https://trends.google.ca/trends/explore?q=when+did+grand+theft+auto+san+andreas+come+out&date=now+7-d&geo=US,"+3,750%",217,Franchise,2024-10-03
Grand Theft Auto,4,Grand theft auto san andreas movie,https://trends.google.ca/trends/explore?q=grand+theft+auto+san+andreas+movie&date=now+7-d&geo=US,+650%,217,Franchise,2024-10-03
Grand Theft Auto,5,Gran turismo 7,https://trends.google.ca/trends/explore?q=gran+turismo+7&date=now+7-d&geo=US,+400%,217,Franchise,2024-10-03
Grand Theft Auto,6,Grand theft auto commercial,https://trends.google.ca/trends/explore?q=grand+theft+auto+commercial&date=now+7-d&geo=US,+300%,217,Franchise,2024-10-03
Grand Theft Auto,7,Gta movie,https://trends.google.ca/trends/explore?q=gta+movie&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Grand Theft Auto,8,Cheat codes for grand theft auto v xbox one,https://trends.google.ca/trends/explore?q=cheat+codes+for+grand+theft+auto+v+xbox+one&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Grand Theft Auto,9,When did the first grand theft auto come out,https://trends.google.ca/trends/explore?q=when+did+the+first+grand+theft+auto+come+out&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
Grand Theft Auto,10,What is grand theft auto in real life,https://trends.google.ca/trends/explore?q=what+is+grand+theft+auto+in+real+life&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
Grand Theft Auto,11,Assassin's creed shadows,https://trends.google.ca/trends/explore?q=assassin's+creed+shadows&date=now+7-d&geo=US,+120%,217,Franchise,2024-10-03
Grand Theft Auto,12,Grand theft auto san andreas pc,https://trends.google.ca/trends/explore?q=grand+theft+auto+san+andreas+pc&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Grand Theft Auto,13,Grand theft auto halloween,https://trends.google.ca/trends/explore?q=grand+theft+auto+halloween&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Grand Theft Auto,14,Metal gear solid,https://trends.google.ca/trends/explore?q=metal+gear+solid&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Grand Theft Auto,15,Grand theft auto v cheat codes xbox one,https://trends.google.ca/trends/explore?q=grand+theft+auto+v+cheat+codes+xbox+one&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Grand Theft Auto,16,Grand theft auto 6 trailer,https://trends.google.ca/trends/explore?q=grand+theft+auto+6+trailer&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Grand Theft Auto,17,Mortal kombat,https://trends.google.ca/trends/explore?q=mortal+kombat&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Grand Theft Auto,18,Grand theft auto law,https://trends.google.ca/trends/explore?q=grand+theft+auto+law&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Grand Theft Auto,19,Gta 6 trailer,https://trends.google.ca/trends/explore?q=gta+6+trailer&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Grand Theft Auto,20,Grand theft auto 2 download,https://trends.google.ca/trends/explore?q=grand+theft+auto+2+download&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Grand Theft Auto,21,Ps4 grand theft auto 5 cheats,https://trends.google.ca/trends/explore?q=ps4+grand+theft+auto+5+cheats&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Grand Theft Auto,22,Grand theft auto crime meaning,https://trends.google.ca/trends/explore?q=grand+theft+auto+crime+meaning&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Grand Theft Auto,23,Star wars outlaws,https://trends.google.ca/trends/explore?q=star+wars+outlaws&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
