Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Gremlins,1,Clay higgins gremlins,https://trends.google.ca/trends/explore?q=clay+higgins+gremlins&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Gremlins,2,Deputy brent gremlins,https://trends.google.ca/trends/explore?q=deputy+brent+gremlins&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Gremlins,3,Goonies cast,https://trends.google.ca/trends/explore?q=goonies+cast&date=now+7-d&geo=US,+750%,154,Movie,2024-10-03
Gremlins,4,Sleepy hollow,https://trends.google.ca/trends/explore?q=sleepy+hollow&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Gremlins,5,Is gremlins a halloween movie,https://trends.google.ca/trends/explore?q=is+gremlins+a+halloween+movie&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Gremlins,6,Spirits of the air gremlins of the clouds,https://trends.google.ca/trends/explore?q=spirits+of+the+air+gremlins+of+the+clouds&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Gremlins,7,Gremlins secrets of the mogwai season 2,https://trends.google.ca/trends/explore?q=gremlins+secrets+of+the+mogwai+season+2&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Gremlins,8,Corey haim,https://trends.google.ca/trends/explore?q=corey+haim&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Gremlins,9,Where was gremlins filmed,https://trends.google.ca/trends/explore?q=where+was+gremlins+filmed&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
Gremlins,10,Die hard,https://trends.google.ca/trends/explore?q=die+hard&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
Gremlins,11,Judge reinhold,https://trends.google.ca/trends/explore?q=judge+reinhold&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Gremlins,12,The others,https://trends.google.ca/trends/explore?q=the+others&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Gremlins,13,Cast of gremlins 2,https://trends.google.ca/trends/explore?q=cast+of+gremlins+2&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Gremlins,14,Halloween movies for kids,https://trends.google.ca/trends/explore?q=halloween+movies+for+kids&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Gremlins,15,Small soldiers,https://trends.google.ca/trends/explore?q=small+soldiers&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
Gremlins,16,Scooby doo,https://trends.google.ca/trends/explore?q=scooby+doo&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Gremlins,17,Zach galligan movies,https://trends.google.ca/trends/explore?q=zach+galligan+movies&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Gremlins,18,Casper,https://trends.google.ca/trends/explore?q=casper&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Gremlins,19,Zach galligan,https://trends.google.ca/trends/explore?q=zach+galligan&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Gremlins,20,Mogwai meaning,https://trends.google.ca/trends/explore?q=mogwai+meaning&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Gremlins,21,Dick miller,https://trends.google.ca/trends/explore?q=dick+miller&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Gremlins,22,Gremlins cast,https://trends.google.ca/trends/explore?q=gremlins+cast&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
