Query,Line Number,Seed,Link,Rising Value,Date
 Hair,1,Why did lyle have no hair,https://trends.google.ca/trends/explore?q=why+did+lyle+have+no+hair&date=now+7-d&geo=CA,Breakout,2024-09-26
 Hair,2,What happened to lyle hair,https://trends.google.ca/trends/explore?q=what+happened+to+lyle+hair&date=now+7-d&geo=CA,Breakout,2024-09-26
 Hair,3,Why did lyle lose his hair,https://trends.google.ca/trends/explore?q=why+did+lyle+lose+his+hair&date=now+7-d&geo=CA,"+4,900%",2024-09-26
 Hair,4,Lyle menendez hair transplant,https://trends.google.ca/trends/explore?q=lyle+menendez+hair+transplant&date=now+7-d&geo=CA,"+4,600%",2024-09-26
 Hair,5,Lyle menendez,https://trends.google.ca/trends/explore?q=lyle+menendez&date=now+7-d&geo=CA,"+4,450%",2024-09-26
 Hair,6,Lyle menendez hair,https://trends.google.ca/trends/explore?q=lyle+menendez+hair&date=now+7-d&geo=CA,"+4,400%",2024-09-26
 Hair,7,Lyle menendez hair issue,https://trends.google.ca/trends/explore?q=lyle+menendez+hair+issue&date=now+7-d&geo=CA,"+4,300%",2024-09-26
 Hair,8,Why did lyle menendez have no hair,https://trends.google.ca/trends/explore?q=why+did+lyle+menendez+have+no+hair&date=now+7-d&geo=CA,"+3,200%",2024-09-26
 Hair,9,Frill hair,https://trends.google.ca/trends/explore?q=frill+hair&date=now+7-d&geo=CA,"+2,700%",2024-09-26
 Hair,10,Lyle menendez hair loss cause,https://trends.google.ca/trends/explore?q=lyle+menendez+hair+loss+cause&date=now+7-d&geo=CA,"+1,300%",2024-09-26
 Hair,11,Padra hair transplant,https://trends.google.ca/trends/explore?q=padra+hair+transplant&date=now+7-d&geo=CA,+650%,2024-09-26
 Hair,12,What happened to lyles hair,https://trends.google.ca/trends/explore?q=what+happened+to+lyles+hair&date=now+7-d&geo=CA,+350%,2024-09-26
 Hair,13,Padra clinic,https://trends.google.ca/trends/explore?q=padra+clinic&date=now+7-d&geo=CA,+300%,2024-09-26
 Hair,14,Pumpkin seed oil for hair,https://trends.google.ca/trends/explore?q=pumpkin+seed+oil+for+hair&date=now+7-d&geo=CA,+70%,2024-09-26
 Hair,15,Karseell collagen hair mask,https://trends.google.ca/trends/explore?q=karseell+collagen+hair+mask&date=now+7-d&geo=CA,+60%,2024-09-26
 Hair,16,Hair transplant toronto,https://trends.google.ca/trends/explore?q=hair+transplant+toronto&date=now+7-d&geo=CA,+40%,2024-09-26
