Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Hamilton,1,Kate bosworth,https://trends.google.ca/trends/explore?q=kate+bosworth&date=now+1-d&geo=US,+850%,154,Movie,2024-10-02
Hamilton,2,Topher grace,https://trends.google.ca/trends/explore?q=topher+grace&date=now+1-d&geo=US,+700%,154,Movie,2024-10-02
Hamilton,3,Win a date with tad hamilton,https://trends.google.ca/trends/explore?q=win+a+date+with+tad+hamilton&date=now+1-d&geo=US,+500%,154,Movie,2024-10-02
Hamilton,4,Win a date with tad hamilton cast,https://trends.google.ca/trends/explore?q=win+a+date+with+tad+hamilton+cast&date=now+1-d&geo=US,+500%,154,Movie,2024-10-02
Hamilton,5,Tad hamilton cast,https://trends.google.ca/trends/explore?q=tad+hamilton+cast&date=now+1-d&geo=US,+500%,154,Movie,2024-10-02
Hamilton,6,Tad hamilton,https://trends.google.ca/trends/explore?q=tad+hamilton&date=now+1-d&geo=US,+500%,154,Movie,2024-10-02
Hamilton,7,Terminator cast,https://trends.google.ca/trends/explore?q=terminator+cast&date=now+1-d&geo=US,+500%,154,Movie,2024-10-02
Hamilton,8,Sarah connor,https://trends.google.ca/trends/explore?q=sarah+connor&date=now+1-d&geo=US,+500%,154,Movie,2024-10-02
Hamilton,9,Josh duhamel,https://trends.google.ca/trends/explore?q=josh+duhamel&date=now+1-d&geo=US,+350%,154,Movie,2024-10-02
Hamilton,10,Laney hamilton,https://trends.google.ca/trends/explore?q=laney+hamilton&date=now+1-d&geo=US,+350%,154,Movie,2024-10-02
Hamilton,11,Terminator,https://trends.google.ca/trends/explore?q=terminator&date=now+1-d&geo=US,+180%,154,Movie,2024-10-02
Hamilton,12,Hamilton county reporter,https://trends.google.ca/trends/explore?q=hamilton+county+reporter&date=now+1-d&geo=US,+160%,154,Movie,2024-10-02
Hamilton,13,Christina hamilton,https://trends.google.ca/trends/explore?q=christina+hamilton&date=now+1-d&geo=US,+150%,154,Movie,2024-10-02
Hamilton,14,Hamilton ny weather,https://trends.google.ca/trends/explore?q=hamilton+ny+weather&date=now+1-d&geo=US,+130%,154,Movie,2024-10-02
Hamilton,15,Lynn hamilton,https://trends.google.ca/trends/explore?q=lynn+hamilton&date=now+1-d&geo=US,+130%,154,Movie,2024-10-02
Hamilton,16,Hamilton schuster center,https://trends.google.ca/trends/explore?q=hamilton+schuster+center&date=now+1-d&geo=US,+110%,154,Movie,2024-10-02
Hamilton,17,Linda hamilton,https://trends.google.ca/trends/explore?q=linda+hamilton&date=now+1-d&geo=US,+70%,154,Movie,2024-10-02
Hamilton,18,Teddy hamilton narrator,https://trends.google.ca/trends/explore?q=teddy+hamilton+narrator&date=now+1-d&geo=US,+70%,154,Movie,2024-10-02
Hamilton,19,Nicholas hamilton,https://trends.google.ca/trends/explore?q=nicholas+hamilton&date=now+1-d&geo=US,+60%,154,Movie,2024-10-02
Hamilton,20,East hamilton high school,https://trends.google.ca/trends/explore?q=east+hamilton+high+school&date=now+1-d&geo=US,+60%,154,Movie,2024-10-02
Hamilton,21,Hamilton community health network,https://trends.google.ca/trends/explore?q=hamilton+community+health+network&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
Hamilton,22,Alexander hamilton death,https://trends.google.ca/trends/explore?q=alexander+hamilton+death&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
Hamilton,23,Burn hamilton lyrics,https://trends.google.ca/trends/explore?q=burn+hamilton+lyrics&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
Hamilton,24,Hamilton county clerk of court,https://trends.google.ca/trends/explore?q=hamilton+county+clerk+of+court&date=now+1-d&geo=US,+40%,154,Movie,2024-10-02
Hamilton,25,Lewis hamilton age,https://trends.google.ca/trends/explore?q=lewis+hamilton+age&date=now+1-d&geo=US,+40%,154,Movie,2024-10-02
