Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Hannibal,1,Blade trinity cast,https://trends.google.ca/trends/explore?q=blade+trinity+cast&date=now+7-d&geo=US,"+3,850%",216,TV Show,2024-10-03
Hannibal,2,Iec hannibal mo,https://trends.google.ca/trends/explore?q=iec+hannibal+mo&date=now+7-d&geo=US,+170%,216,TV Show,2024-10-03
Hannibal,3,Hannibal king blade,https://trends.google.ca/trends/explore?q=hannibal+king+blade&date=now+7-d&geo=US,+140%,216,TV Show,2024-10-03
Hannibal,4,Blade trinity,https://trends.google.ca/trends/explore?q=blade+trinity&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Hannibal,5,Who is hannibal lecter based on,https://trends.google.ca/trends/explore?q=who+is+hannibal+lecter+based+on&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Hannibal,6,Hannibal doctrine,https://trends.google.ca/trends/explore?q=hannibal+doctrine&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Hannibal,7,Ted bundy,https://trends.google.ca/trends/explore?q=ted+bundy&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Hannibal,8,Norman bates,https://trends.google.ca/trends/explore?q=norman+bates&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Hannibal,9,Mads mikkelsen young,https://trends.google.ca/trends/explore?q=mads+mikkelsen+young&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Hannibal,10,Blade,https://trends.google.ca/trends/explore?q=blade&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Hannibal,11,Encephalitis,https://trends.google.ca/trends/explore?q=encephalitis&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Hannibal,12,Operation hannibal,https://trends.google.ca/trends/explore?q=operation+hannibal&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Hannibal,13,Hannibal buress movies and tv shows,https://trends.google.ca/trends/explore?q=hannibal+buress+movies+and+tv+shows&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Hannibal,14,Hannibal lecter movies in order to watch,https://trends.google.ca/trends/explore?q=hannibal+lecter+movies+in+order+to+watch&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Hannibal,15,Israel hannibal directive,https://trends.google.ca/trends/explore?q=israel+hannibal+directive&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Hannibal,16,Hannibal crossing the alps,https://trends.google.ca/trends/explore?q=hannibal+crossing+the+alps&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Hannibal,17,Hannibal brooks,https://trends.google.ca/trends/explore?q=hannibal+brooks&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Hannibal,18,Homes for sale hannibal mo,https://trends.google.ca/trends/explore?q=homes+for+sale+hannibal+mo&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Hannibal,19,F and m bank hannibal mo,https://trends.google.ca/trends/explore?q=f+and+m+bank+hannibal+mo&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Hannibal,20,Goodwill hannibal mo,https://trends.google.ca/trends/explore?q=goodwill+hannibal+mo&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Hannibal,21,Hannibal directive,https://trends.google.ca/trends/explore?q=hannibal+directive&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
