Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Harry Potter,1,Harry potter miniso,https://trends.google.ca/trends/explore?q=harry+potter+miniso&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
Harry Potter,2,Miniso,https://trends.google.ca/trends/explore?q=miniso&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
Harry Potter,3,Cast of harry potter tv series,https://trends.google.ca/trends/explore?q=cast+of+harry+potter+tv+series&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
Harry Potter,4,Harry potter forbidden forest experience,https://trends.google.ca/trends/explore?q=harry+potter+forbidden+forest+experience&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Harry Potter,5,Minalima harry potter,https://trends.google.ca/trends/explore?q=minalima+harry+potter&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Harry Potter,6,Who did sabrina carpenter play in harry potter,https://trends.google.ca/trends/explore?q=who+did+sabrina+carpenter+play+in+harry+potter&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Harry Potter,7,Leslie manville,https://trends.google.ca/trends/explore?q=leslie+manville&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Harry Potter,8,Harry potter trivia,https://trends.google.ca/trends/explore?q=harry+potter+trivia&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Harry Potter,9,Harry potter monopoly,https://trends.google.ca/trends/explore?q=harry+potter+monopoly&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Harry Potter,10,Harry potter forbidden forest,https://trends.google.ca/trends/explore?q=harry+potter+forbidden+forest&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
Harry Potter,11,Harry potter spells list,https://trends.google.ca/trends/explore?q=harry+potter+spells+list&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
Harry Potter,12,Harry potter 2026,https://trends.google.ca/trends/explore?q=harry+potter+2026&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
Harry Potter,13,Gellert grindelwald,https://trends.google.ca/trends/explore?q=gellert+grindelwald&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
