Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Hellraiser,1,Clare higgins,https://trends.google.ca/trends/explore?q=clare+higgins&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Hellraiser,2,Hellraiser 1987 streaming,https://trends.google.ca/trends/explore?q=hellraiser+1987+streaming&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Hellraiser,3,Hellraiser 3 cast,https://trends.google.ca/trends/explore?q=hellraiser+3+cast&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Hellraiser,4,Drag me to hell,https://trends.google.ca/trends/explore?q=drag+me+to+hell&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Hellraiser,5,The bay movie,https://trends.google.ca/trends/explore?q=the+bay+movie&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Hellraiser,6,Hellraiser trilogy,https://trends.google.ca/trends/explore?q=hellraiser+trilogy&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Hellraiser,7,Ashley laurence,https://trends.google.ca/trends/explore?q=ashley+laurence&date=now+1-d&geo=US,+400%,217,Franchise,2024-10-02
Hellraiser,8,Cabin in the woods,https://trends.google.ca/trends/explore?q=cabin+in+the+woods&date=now+1-d&geo=US,+400%,217,Franchise,2024-10-02
Hellraiser,9,Hellraiser cast 1987,https://trends.google.ca/trends/explore?q=hellraiser+cast+1987&date=now+1-d&geo=US,+300%,217,Franchise,2024-10-02
Hellraiser,10,Chucky,https://trends.google.ca/trends/explore?q=chucky&date=now+1-d&geo=US,+180%,217,Franchise,2024-10-02
Hellraiser,11,Hellraiser comics,https://trends.google.ca/trends/explore?q=hellraiser+comics&date=now+1-d&geo=US,+140%,217,Franchise,2024-10-02
Hellraiser,12,New hellraiser movie,https://trends.google.ca/trends/explore?q=new+hellraiser+movie&date=now+1-d&geo=US,+140%,217,Franchise,2024-10-02
Hellraiser,13,Hellraiser 1987,https://trends.google.ca/trends/explore?q=hellraiser+1987&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
Hellraiser,14,Terrifier,https://trends.google.ca/trends/explore?q=terrifier&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
Hellraiser,15,Hellraiser puzzle box,https://trends.google.ca/trends/explore?q=hellraiser+puzzle+box&date=now+1-d&geo=US,+110%,217,Franchise,2024-10-02
Hellraiser,16,Exorcist 3,https://trends.google.ca/trends/explore?q=exorcist+3&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
Hellraiser,17,How many hellraiser movies are there,https://trends.google.ca/trends/explore?q=how+many+hellraiser+movies+are+there&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Hellraiser,18,13 ghosts,https://trends.google.ca/trends/explore?q=13+ghosts&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Hellraiser,19,Cast of hellraiser,https://trends.google.ca/trends/explore?q=cast+of+hellraiser&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Hellraiser,20,Hellraiser frank,https://trends.google.ca/trends/explore?q=hellraiser+frank&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Hellraiser,21,Hellraiser trailer,https://trends.google.ca/trends/explore?q=hellraiser+trailer&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Hellraiser,22,Hell raiser,https://trends.google.ca/trends/explore?q=hell+raiser&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Hellraiser,23,Hellraiser plot,https://trends.google.ca/trends/explore?q=hellraiser+plot&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Hellraiser,24,The shining,https://trends.google.ca/trends/explore?q=the+shining&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
