Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Hereditary,1,Host movie,https://trends.google.ca/trends/explore?q=host+movie&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Hereditary,2,The good wife movie,https://trends.google.ca/trends/explore?q=the+good+wife+movie&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Hereditary,3,Which of the following best captures thomas paine’s view of hereditary monarchy?,https://trends.google.ca/trends/explore?q=which+of+the+following+best+captures+thomas+paine%E2%80%99s+view+of+hereditary+monarchy?&date=now+7-d&geo=US,"+5,000%",154,Movie,2024-10-03
Hereditary,4,The good wife,https://trends.google.ca/trends/explore?q=the+good+wife&date=now+7-d&geo=US,"+2,200%",154,Movie,2024-10-03
Hereditary,5,Hell house llc,https://trends.google.ca/trends/explore?q=hell+house+llc&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Hereditary,6,Hell house,https://trends.google.ca/trends/explore?q=hell+house&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Hereditary,7,Skinamarink,https://trends.google.ca/trends/explore?q=skinamarink&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Hereditary,8,Host,https://trends.google.ca/trends/explore?q=host&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Hereditary,9,Texas chainsaw massacre,https://trends.google.ca/trends/explore?q=texas+chainsaw+massacre&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Hereditary,10,Halloween movies,https://trends.google.ca/trends/explore?q=halloween+movies&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Hereditary,11,Tusk,https://trends.google.ca/trends/explore?q=tusk&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Hereditary,12,Hereditary car scene,https://trends.google.ca/trends/explore?q=hereditary+car+scene&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Hereditary,13,Sinister,https://trends.google.ca/trends/explore?q=sinister&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Hereditary,14,Is chiari malformation hereditary,https://trends.google.ca/trends/explore?q=is+chiari+malformation+hereditary&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Hereditary,15,Blair witch project,https://trends.google.ca/trends/explore?q=blair+witch+project&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Hereditary,16,Hereditary synopsis,https://trends.google.ca/trends/explore?q=hereditary+synopsis&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Hereditary,17,Oddity,https://trends.google.ca/trends/explore?q=oddity&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Hereditary,18,Smile,https://trends.google.ca/trends/explore?q=smile&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Hereditary,19,Gonjiam haunted asylum,https://trends.google.ca/trends/explore?q=gonjiam+haunted+asylum&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Hereditary,20,Talk to me movie,https://trends.google.ca/trends/explore?q=talk+to+me+movie&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Hereditary,21,Evil dead rise,https://trends.google.ca/trends/explore?q=evil+dead+rise&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Hereditary,22,Barbarian,https://trends.google.ca/trends/explore?q=barbarian&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Hereditary,23,Is liver cancer hereditary,https://trends.google.ca/trends/explore?q=is+liver+cancer+hereditary&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Hereditary,24,The witch,https://trends.google.ca/trends/explore?q=the+witch&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Hereditary,25,Hereditary plot,https://trends.google.ca/trends/explore?q=hereditary+plot&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
