Query,Line Number,Seed,Link,Rising Value,Date
 Highest,1,Category 5 hurricane,https://trends.google.ca/trends/explore?q=category+5+hurricane&date=now+1-d&geo=CA,Breakout,2024-09-27
 Highest,2,Category 4 hurricane,https://trends.google.ca/trends/explore?q=category+4+hurricane&date=now+1-d&geo=CA,Breakout,2024-09-27
 Highest,3,Hurricane categories,https://trends.google.ca/trends/explore?q=hurricane+categories&date=now+1-d&geo=CA,Breakout,2024-09-27
 Highest,4,Highest category hurricane ever,https://trends.google.ca/trends/explore?q=highest+category+hurricane+ever&date=now+1-d&geo=CA,Breakout,2024-09-27
 Highest,5,Highest paid kicker nfl,https://trends.google.ca/trends/explore?q=highest+paid+kicker+nfl&date=now+1-d&geo=CA,Breakout,2024-09-27
 Highest,6,Highest paid qb in nfl,https://trends.google.ca/trends/explore?q=highest+paid+qb+in+nfl&date=now+1-d&geo=CA,Breakout,2024-09-27
 Highest,7,Highest wind speed ever recorded,https://trends.google.ca/trends/explore?q=highest+wind+speed+ever+recorded&date=now+1-d&geo=CA,Breakout,2024-09-27
 Highest,8,Highest paid qbs in the nfl,https://trends.google.ca/trends/explore?q=highest+paid+qbs+in+the+nfl&date=now+1-d&geo=CA,"+3,500%",2024-09-27
 Highest,9,Highest paid mlb player,https://trends.google.ca/trends/explore?q=highest+paid+mlb+player&date=now+1-d&geo=CA,+400%,2024-09-27
 Highest,10,What is the highest category of hurricane,https://trends.google.ca/trends/explore?q=what+is+the+highest+category+of+hurricane&date=now+1-d&geo=CA,+400%,2024-09-27
 Highest,11,Highest tax bracket canada,https://trends.google.ca/trends/explore?q=highest+tax+bracket+canada&date=now+1-d&geo=CA,+350%,2024-09-27
 Highest,12,Highest hurricane category,https://trends.google.ca/trends/explore?q=highest+hurricane+category&date=now+1-d&geo=CA,+350%,2024-09-27
 Highest,13,What is the highest category hurricane ever recorded,https://trends.google.ca/trends/explore?q=what+is+the+highest+category+hurricane+ever+recorded&date=now+1-d&geo=CA,+250%,2024-09-27
 Highest,14,Highest paid qb,https://trends.google.ca/trends/explore?q=highest+paid+qb&date=now+1-d&geo=CA,+250%,2024-09-27
 Highest,15,I'm the highest in the room,https://trends.google.ca/trends/explore?q=i'm+the+highest+in+the+room&date=now+1-d&geo=CA,+190%,2024-09-27
 Highest,16,Highest year level achieved,https://trends.google.ca/trends/explore?q=highest+year+level+achieved&date=now+1-d&geo=CA,+190%,2024-09-27
 Highest,17,Hosanna in the highest lyrics,https://trends.google.ca/trends/explore?q=hosanna+in+the+highest+lyrics&date=now+1-d&geo=CA,+170%,2024-09-27
 Highest,18,Highest paid soccer player,https://trends.google.ca/trends/explore?q=highest+paid+soccer+player&date=now+1-d&geo=CA,+170%,2024-09-27
 Highest,19,Highest paid nfl player,https://trends.google.ca/trends/explore?q=highest+paid+nfl+player&date=now+1-d&geo=CA,+150%,2024-09-27
 Highest,20,Highest point in florida,https://trends.google.ca/trends/explore?q=highest+point+in+florida&date=now+1-d&geo=CA,+80%,2024-09-27
