Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Hitman,1,The hitman 1991 cast,https://trends.google.ca/trends/explore?q=the+hitman+1991+cast&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Hitman,2,Wolves movie,https://trends.google.ca/trends/explore?q=wolves+movie&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Hitman,3,Gary johnson hitman wikipedia,https://trends.google.ca/trends/explore?q=gary+johnson+hitman+wikipedia&date=now+7-d&geo=US,"+2,450%",217,Franchise,2024-10-03
Hitman,4,Aimee betro,https://trends.google.ca/trends/explore?q=aimee+betro&date=now+7-d&geo=US,"+2,150%",217,Franchise,2024-10-03
Hitman,5,Hitman solutions,https://trends.google.ca/trends/explore?q=hitman+solutions&date=now+7-d&geo=US,+350%,217,Franchise,2024-10-03
Hitman,6,Dusk for a hitman,https://trends.google.ca/trends/explore?q=dusk+for+a+hitman&date=now+7-d&geo=US,+300%,217,Franchise,2024-10-03
Hitman,7,Hitman 2024 cast,https://trends.google.ca/trends/explore?q=hitman+2024+cast&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
Hitman,8,Bret the hitman heart,https://trends.google.ca/trends/explore?q=bret+the+hitman+heart&date=now+7-d&geo=US,+180%,217,Franchise,2024-10-03
Hitman,9,Chongqing hitman 3 codes,https://trends.google.ca/trends/explore?q=chongqing+hitman+3+codes&date=now+7-d&geo=US,+170%,217,Franchise,2024-10-03
Hitman,10,Hitman world of assassination mods,https://trends.google.ca/trends/explore?q=hitman+world+of+assassination+mods&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-03
Hitman,11,Eiza gonzález,https://trends.google.ca/trends/explore?q=eiza+gonz%C3%A1lez&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-03
Hitman,12,Ana de armas,https://trends.google.ca/trends/explore?q=ana+de+armas&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
Hitman,13,Hitman netflix cast,https://trends.google.ca/trends/explore?q=hitman+netflix+cast&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
Hitman,14,Shawn michaels,https://trends.google.ca/trends/explore?q=shawn+michaels&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
Hitman,15,Hit man cast,https://trends.google.ca/trends/explore?q=hit+man+cast&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Hitman,16,Cdkeys,https://trends.google.ca/trends/explore?q=cdkeys&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Hitman,17,First hitman game,https://trends.google.ca/trends/explore?q=first+hitman+game&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Hitman,18,The killers game,https://trends.google.ca/trends/explore?q=the+killers+game&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Hitman,19,Bret hitman hart,https://trends.google.ca/trends/explore?q=bret+hitman+hart&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Hitman,20,Hitman movie 2024 cast,https://trends.google.ca/trends/explore?q=hitman+movie+2024+cast&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Hitman,21,Bret hart,https://trends.google.ca/trends/explore?q=bret+hart&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Hitman,22,Hitman hart,https://trends.google.ca/trends/explore?q=hitman+hart&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Hitman,23,Bret the hitman hart,https://trends.google.ca/trends/explore?q=bret+the+hitman+hart&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
