Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Hocus Pocus 2,1,Vinessa shaw movies,https://trends.google.ca/trends/explore?q=vinessa+shaw+movies&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Hocus Pocus 2,2,31 days of halloween,https://trends.google.ca/trends/explore?q=31+days+of+halloween&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Hocus Pocus 2,3,Hocus pocus 2 reverend traske,https://trends.google.ca/trends/explore?q=hocus+pocus+2+reverend+traske&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Hocus Pocus 2,4,Classic halloween movies,https://trends.google.ca/trends/explore?q=classic+halloween+movies&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Hocus Pocus 2,5,Tobias jelinek,https://trends.google.ca/trends/explore?q=tobias+jelinek&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Hocus Pocus 2,6,Paranorman,https://trends.google.ca/trends/explore?q=paranorman&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Hocus Pocus 2,7,Freaky friday 2,https://trends.google.ca/trends/explore?q=freaky+friday+2&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Hocus Pocus 2,8,Sister act 2,https://trends.google.ca/trends/explore?q=sister+act+2&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Hocus Pocus 2,9,Nightmare on elm street,https://trends.google.ca/trends/explore?q=nightmare+on+elm+street&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Hocus Pocus 2,10,When was hocus pocus 2 released,https://trends.google.ca/trends/explore?q=when+was+hocus+pocus+2+released&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Hocus Pocus 2,11,Twitches,https://trends.google.ca/trends/explore?q=twitches&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Hocus Pocus 2,12,Freeform,https://trends.google.ca/trends/explore?q=freeform&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Hocus Pocus 2,13,Toy story 4,https://trends.google.ca/trends/explore?q=toy+story+4&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Hocus Pocus 2,14,Casper 1995,https://trends.google.ca/trends/explore?q=casper+1995&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
Hocus Pocus 2,15,Where to watch hocus pocus 2 for free,https://trends.google.ca/trends/explore?q=where+to+watch+hocus+pocus+2+for+free&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Hocus Pocus 2,16,Thora birch movies,https://trends.google.ca/trends/explore?q=thora+birch+movies&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Hocus Pocus 2,17,Mother witch costume hocus pocus 2,https://trends.google.ca/trends/explore?q=mother+witch+costume+hocus+pocus+2&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Hocus Pocus 2,18,Tony hale movies and tv shows,https://trends.google.ca/trends/explore?q=tony+hale+movies+and+tv+shows&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Hocus Pocus 2,19,Hocus pocus 2 plot,https://trends.google.ca/trends/explore?q=hocus+pocus+2+plot&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Hocus Pocus 2,20,Terrifier 2,https://trends.google.ca/trends/explore?q=terrifier+2&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Hocus Pocus 2,21,Jason marsden,https://trends.google.ca/trends/explore?q=jason+marsden&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Hocus Pocus 2,22,The nightmare before christmas,https://trends.google.ca/trends/explore?q=the+nightmare+before+christmas&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Hocus Pocus 2,23,Halloween movies on netflix,https://trends.google.ca/trends/explore?q=halloween+movies+on+netflix&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Hocus Pocus 2,24,When does hocus pocus 3 come out,https://trends.google.ca/trends/explore?q=when+does+hocus+pocus+3+come+out&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Hocus Pocus 2,25,It,https://trends.google.ca/trends/explore?q=it&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
