Line Number,Label Text,Link,Rising Value
1,Honda m55,https://trends.google.ca/trends/explore?q=honda+m55&date=now+1-d&geo=CA,Breakout
2,Harvest honda,https://trends.google.ca/trends/explore?q=harvest+honda&date=now+1-d&geo=CA,+130%
3,Carfax,https://trends.google.ca/trends/explore?q=carfax&date=now+1-d&geo=CA,+120%
4,T and t honda,https://trends.google.ca/trends/explore?q=t+and+t+honda&date=now+1-d&geo=CA,+120%
5,Jonker honda,https://trends.google.ca/trends/explore?q=jonker+honda&date=now+1-d&geo=CA,+100%
6,Honda new glasgow,https://trends.google.ca/trends/explore?q=honda+new+glasgow&date=now+1-d&geo=CA,+90%
7,Welland honda,https://trends.google.ca/trends/explore?q=welland+honda&date=now+1-d&geo=CA,+90%
8,Honda kamloops,https://trends.google.ca/trends/explore?q=honda+kamloops&date=now+1-d&geo=CA,+90%
9,Listowel honda,https://trends.google.ca/trends/explore?q=listowel+honda&date=now+1-d&geo=CA,+60%
10,Midtown honda,https://trends.google.ca/trends/explore?q=midtown+honda&date=now+1-d&geo=CA,+60%
11,Honda queensway,https://trends.google.ca/trends/explore?q=honda+queensway&date=now+1-d&geo=CA,+60%
12,Bridgewater honda,https://trends.google.ca/trends/explore?q=bridgewater+honda&date=now+1-d&geo=CA,+60%
13,Carter honda,https://trends.google.ca/trends/explore?q=carter+honda&date=now+1-d&geo=CA,+50%
14,Subaru crosstrek,https://trends.google.ca/trends/explore?q=subaru+crosstrek&date=now+1-d&geo=CA,+50%
15,Honda longueuil,https://trends.google.ca/trends/explore?q=honda+longueuil&date=now+1-d&geo=CA,+50%
16,Riverview honda,https://trends.google.ca/trends/explore?q=riverview+honda&date=now+1-d&geo=CA,+40%
