Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
I Am Legend,1,Civil war movie,https://trends.google.ca/trends/explore?q=civil+war+movie&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
I Am Legend,2,The green mile,https://trends.google.ca/trends/explore?q=the+green+mile&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
I Am Legend,3,What is i am legend streaming on,https://trends.google.ca/trends/explore?q=what+is+i+am+legend+streaming+on&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
I Am Legend,4,The pursuit of happiness,https://trends.google.ca/trends/explore?q=the+pursuit+of+happiness&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
I Am Legend,5,A quiet place,https://trends.google.ca/trends/explore?q=a+quiet+place&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
I Am Legend,6,I am legend comic,https://trends.google.ca/trends/explore?q=i+am+legend+comic&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
I Am Legend,7,28 weeks later,https://trends.google.ca/trends/explore?q=28+weeks+later&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
I Am Legend,8,Constantine 2,https://trends.google.ca/trends/explore?q=constantine+2&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
I Am Legend,9,The road,https://trends.google.ca/trends/explore?q=the+road&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
I Am Legend,10,Zombie from i am legend,https://trends.google.ca/trends/explore?q=zombie+from+i+am+legend&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
I Am Legend,11,I am legend alternate ending explained,https://trends.google.ca/trends/explore?q=i+am+legend+alternate+ending+explained&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
I Am Legend,12,Shutter island,https://trends.google.ca/trends/explore?q=shutter+island&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
I Am Legend,13,I am legend quotes,https://trends.google.ca/trends/explore?q=i+am+legend+quotes&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
I Am Legend,14,Apocalypse movies,https://trends.google.ca/trends/explore?q=apocalypse+movies&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
