Line Number,Label Text,Link,Rising Value
1,Almond italian ice cream,https://trends.google.ca/trends/explore?q=almond+italian+ice+cream&date=now+1-d&geo=CA,Breakout
2,"Ice cream made of heavy cream, minced almonds, chopped maraschino cherries, and often flavored with rum","https://trends.google.ca/trends/explore?q=ice+cream+made+of+heavy+cream,+minced+almonds,+chopped+maraschino+cherries,+and+often+flavored+with+rum&date=now+1-d&geo=CA",Breakout
3,Italian ice cream crossword clue,https://trends.google.ca/trends/explore?q=italian+ice+cream+crossword+clue&date=now+1-d&geo=CA,Breakout
4,Ice cream truck near me,https://trends.google.ca/trends/explore?q=ice+cream+truck+near+me&date=now+1-d&geo=CA,Breakout
5,Remorse,https://trends.google.ca/trends/explore?q=remorse&date=now+1-d&geo=CA,Breakout
6,Mooshu ice cream,https://trends.google.ca/trends/explore?q=mooshu+ice+cream&date=now+1-d&geo=CA,Breakout
7,Ice cream haircut,https://trends.google.ca/trends/explore?q=ice+cream+haircut&date=now+1-d&geo=CA,Breakout
8,Atomic number 7,https://trends.google.ca/trends/explore?q=atomic+number+7&date=now+1-d&geo=CA,Breakout
9,Atomic #7,https://trends.google.ca/trends/explore?q=atomic+%237&date=now+1-d&geo=CA,Breakout
10,Dq near me,https://trends.google.ca/trends/explore?q=dq+near+me&date=now+1-d&geo=CA,Breakout
11,White rabbit ice cream,https://trends.google.ca/trends/explore?q=white+rabbit+ice+cream&date=now+1-d&geo=CA,Breakout
12,"Ice cream made of heavy cream, minced almonds, chopped maraschino cherries, and often flavored with rum.","https://trends.google.ca/trends/explore?q=ice+cream+made+of+heavy+cream,+minced+almonds,+chopped+maraschino+cherries,+and+often+flavored+with+rum.&date=now+1-d&geo=CA",Breakout
13,Acid in explosives,https://trends.google.ca/trends/explore?q=acid+in+explosives&date=now+1-d&geo=CA,Breakout
14,Longos,https://trends.google.ca/trends/explore?q=longos&date=now+1-d&geo=CA,Breakout
15,Cows ice cream halifax,https://trends.google.ca/trends/explore?q=cows+ice+cream+halifax&date=now+1-d&geo=CA,Breakout
16,Greek column style,https://trends.google.ca/trends/explore?q=greek+column+style&date=now+1-d&geo=CA,Breakout
17,About atomic # 7,https://trends.google.ca/trends/explore?q=about+atomic+%23+7&date=now+1-d&geo=CA,Breakout
18,Dried seaweed,https://trends.google.ca/trends/explore?q=dried+seaweed&date=now+1-d&geo=CA,Breakout
19,Cherry garcia ice cream,https://trends.google.ca/trends/explore?q=cherry+garcia+ice+cream&date=now+1-d&geo=CA,Breakout
20,Duke's fine ice cream,https://trends.google.ca/trends/explore?q=duke's+fine+ice+cream&date=now+1-d&geo=CA,Breakout
21,Three pointed hat,https://trends.google.ca/trends/explore?q=three+pointed+hat&date=now+1-d&geo=CA,Breakout
22,"2,000 lb 3-pronged fork","https://trends.google.ca/trends/explore?q=2,000+lb+3-pronged+fork&date=now+1-d&geo=CA",Breakout
23,Homestead ice cream,https://trends.google.ca/trends/explore?q=homestead+ice+cream&date=now+1-d&geo=CA,Breakout
24,Completed in italian,https://trends.google.ca/trends/explore?q=completed+in+italian&date=now+1-d&geo=CA,Breakout
25,Ice cream recipe with machine,https://trends.google.ca/trends/explore?q=ice+cream+recipe+with+machine&date=now+1-d&geo=CA,Breakout
