Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Inception,1,Dune,https://trends.google.ca/trends/explore?q=dune&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Inception,2,Gone girl,https://trends.google.ca/trends/explore?q=gone+girl&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Inception,3,What does inception mean?,https://trends.google.ca/trends/explore?q=what+does+inception+mean?&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Inception,4,Memento,https://trends.google.ca/trends/explore?q=memento&date=now+1-d&geo=US,+250%,154,Movie,2024-10-02
Inception,5,The truman show,https://trends.google.ca/trends/explore?q=the+truman+show&date=now+1-d&geo=US,+200%,154,Movie,2024-10-02
Inception,6,Good will hunting,https://trends.google.ca/trends/explore?q=good+will+hunting&date=now+1-d&geo=US,+200%,154,Movie,2024-10-02
Inception,7,Elliot page,https://trends.google.ca/trends/explore?q=elliot+page&date=now+1-d&geo=US,+170%,154,Movie,2024-10-02
Inception,8,The departed,https://trends.google.ca/trends/explore?q=the+departed&date=now+1-d&geo=US,+120%,154,Movie,2024-10-02
Inception,9,Inception soundtrack,https://trends.google.ca/trends/explore?q=inception+soundtrack&date=now+1-d&geo=US,+110%,154,Movie,2024-10-02
Inception,10,Paprika,https://trends.google.ca/trends/explore?q=paprika&date=now+1-d&geo=US,+90%,154,Movie,2024-10-02
Inception,11,Tenet,https://trends.google.ca/trends/explore?q=tenet&date=now+1-d&geo=US,+80%,154,Movie,2024-10-02
Inception,12,Shutter island,https://trends.google.ca/trends/explore?q=shutter+island&date=now+1-d&geo=US,+70%,154,Movie,2024-10-02
Inception,13,Inception define,https://trends.google.ca/trends/explore?q=inception+define&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
Inception,14,Inception streaming,https://trends.google.ca/trends/explore?q=inception+streaming&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
Inception,15,Inception trailer,https://trends.google.ca/trends/explore?q=inception+trailer&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
Inception,16,Titanic,https://trends.google.ca/trends/explore?q=titanic&date=now+1-d&geo=US,+40%,154,Movie,2024-10-02
