Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Inglourious Basterds,1,Inglourious basterds final scene,https://trends.google.ca/trends/explore?q=inglourious+basterds+final+scene&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Inglourious Basterds,2,Three glasses inglourious basterds,https://trends.google.ca/trends/explore?q=three+glasses+inglourious+basterds&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Inglourious Basterds,3,Eternal sunshine of the spotless mind,https://trends.google.ca/trends/explore?q=eternal+sunshine+of+the+spotless+mind&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Inglourious Basterds,4,Inglourious basterds oscars,https://trends.google.ca/trends/explore?q=inglourious+basterds+oscars&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Inglourious Basterds,5,Meet joe black,https://trends.google.ca/trends/explore?q=meet+joe+black&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Inglourious Basterds,6,Inglourious basterds blu ray,https://trends.google.ca/trends/explore?q=inglourious+basterds+blu+ray&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Inglourious Basterds,7,Eyes wide shut,https://trends.google.ca/trends/explore?q=eyes+wide+shut&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Inglourious Basterds,8,Where to watch inglourious basterds for free,https://trends.google.ca/trends/explore?q=where+to+watch+inglourious+basterds+for+free&date=now+7-d&geo=US,+500%,154,Movie,2024-10-03
Inglourious Basterds,9,Inglourious basterds spelling,https://trends.google.ca/trends/explore?q=inglourious+basterds+spelling&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Inglourious Basterds,10,Inglorious meaning,https://trends.google.ca/trends/explore?q=inglorious+meaning&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Inglourious Basterds,11,Kill bill 2,https://trends.google.ca/trends/explore?q=kill+bill+2&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Inglourious Basterds,12,Arrival,https://trends.google.ca/trends/explore?q=arrival&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Inglourious Basterds,13,Julie dreyfus,https://trends.google.ca/trends/explore?q=julie+dreyfus&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Inglourious Basterds,14,Green mile,https://trends.google.ca/trends/explore?q=green+mile&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Inglourious Basterds,15,12 years a slave,https://trends.google.ca/trends/explore?q=12+years+a+slave&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Inglourious Basterds,16,Daniel day lewis,https://trends.google.ca/trends/explore?q=daniel+day+lewis&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Inglourious Basterds,17,Memento,https://trends.google.ca/trends/explore?q=memento&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Inglourious Basterds,18,American psycho,https://trends.google.ca/trends/explore?q=american+psycho&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Inglourious Basterds,19,Top gun,https://trends.google.ca/trends/explore?q=top+gun&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Inglourious Basterds,20,Inglourious basterds hugo stiglitz,https://trends.google.ca/trends/explore?q=inglourious+basterds+hugo+stiglitz&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Inglourious Basterds,21,Hugo stiglitz,https://trends.google.ca/trends/explore?q=hugo+stiglitz&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Inglourious Basterds,22,Movies to watch,https://trends.google.ca/trends/explore?q=movies+to+watch&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
