Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Inside Out 2,1,James austin johnson,https://trends.google.ca/trends/explore?q=james+austin+johnson&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Inside Out 2,2,Did riley make the team in inside out 2,https://trends.google.ca/trends/explore?q=did+riley+make+the+team+in+inside+out+2&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Inside Out 2,3,Inside out 2 did riley make the team,https://trends.google.ca/trends/explore?q=inside+out+2+did+riley+make+the+team&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Inside Out 2,4,Does riley make the team in inside out 2,https://trends.google.ca/trends/explore?q=does+riley+make+the+team+in+inside+out+2&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
Inside Out 2,5,Who plays riley in inside out 2,https://trends.google.ca/trends/explore?q=who+plays+riley+in+inside+out+2&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
Inside Out 2,6,Inside out 2 voice cast,https://trends.google.ca/trends/explore?q=inside+out+2+voice+cast&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
Inside Out 2,7,Liza lapira,https://trends.google.ca/trends/explore?q=liza+lapira&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
Inside Out 2,8,Mindy kaling inside out 2,https://trends.google.ca/trends/explore?q=mindy+kaling+inside+out+2&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
Inside Out 2,9,Mindy kaling,https://trends.google.ca/trends/explore?q=mindy+kaling&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Inside Out 2,10,Yong yea,https://trends.google.ca/trends/explore?q=yong+yea&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Inside Out 2,11,Voices of inside out 2,https://trends.google.ca/trends/explore?q=voices+of+inside+out+2&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Inside Out 2,12,Maya hawke movies and tv shows,https://trends.google.ca/trends/explore?q=maya+hawke+movies+and+tv+shows&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Inside Out 2,13,Voice of anxiety inside out 2,https://trends.google.ca/trends/explore?q=voice+of+anxiety+inside+out+2&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Inside Out 2,14,Cast of inside out 2,https://trends.google.ca/trends/explore?q=cast+of+inside+out+2&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Inside Out 2,15,Cast of inside out,https://trends.google.ca/trends/explore?q=cast+of+inside+out&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Inside Out 2,16,Why didn't mindy kaling voicing disgust,https://trends.google.ca/trends/explore?q=why+didn't+mindy+kaling+voicing+disgust&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Inside Out 2,17,Why isn't mindy kaling in inside out 2,https://trends.google.ca/trends/explore?q=why+isn't+mindy+kaling+in+inside+out+2&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Inside Out 2,18,Cast inside out 2,https://trends.google.ca/trends/explore?q=cast+inside+out+2&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Inside Out 2,19,Cast of inside out 2 ennui,https://trends.google.ca/trends/explore?q=cast+of+inside+out+2+ennui&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Inside Out 2,20,Inside out 2 anxiety voice,https://trends.google.ca/trends/explore?q=inside+out+2+anxiety+voice&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Inside Out 2,21,Maya hawke,https://trends.google.ca/trends/explore?q=maya+hawke&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Inside Out 2,22,Inside out 2 voice actors,https://trends.google.ca/trends/explore?q=inside+out+2+voice+actors&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Inside Out 2,23,Adèle exarchopoulos,https://trends.google.ca/trends/explore?q=ad%C3%A8le+exarchopoulos&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Inside Out 2,24,Jake inside out 2,https://trends.google.ca/trends/explore?q=jake+inside+out+2&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Inside Out 2,25,Inside out 2 easter eggs,https://trends.google.ca/trends/explore?q=inside+out+2+easter+eggs&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
