Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Interstellar,1,Interstellar ticking sound,https://trends.google.ca/trends/explore?q=interstellar+ticking+sound&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Interstellar,2,Interstellar 555,https://trends.google.ca/trends/explore?q=interstellar+555&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Interstellar,3,A walk to remember,https://trends.google.ca/trends/explore?q=a+walk+to+remember&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Interstellar,4,Interstellar run time,https://trends.google.ca/trends/explore?q=interstellar+run+time&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Interstellar,5,The departed,https://trends.google.ca/trends/explore?q=the+departed&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Interstellar,6,Murphys law,https://trends.google.ca/trends/explore?q=murphys+law&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Interstellar,7,Interstellar 5555,https://trends.google.ca/trends/explore?q=interstellar+5555&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Interstellar,8,Django unchained,https://trends.google.ca/trends/explore?q=django+unchained&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Interstellar,9,Interstellar piano tutorial,https://trends.google.ca/trends/explore?q=interstellar+piano+tutorial&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Interstellar,10,Interstellar characters,https://trends.google.ca/trends/explore?q=interstellar+characters&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Interstellar,11,Interstellar runtime,https://trends.google.ca/trends/explore?q=interstellar+runtime&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Interstellar,12,Interstella 5555,https://trends.google.ca/trends/explore?q=interstella+5555&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Interstellar,13,500 days of summer,https://trends.google.ca/trends/explore?q=500+days+of+summer&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Interstellar,14,Gone girl,https://trends.google.ca/trends/explore?q=gone+girl&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Interstellar,15,Interstellar in theaters near me,https://trends.google.ca/trends/explore?q=interstellar+in+theaters+near+me&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
