Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Invincible,1,The middle-aged deliveryman becomes an invincible swordsman as a side job,https://trends.google.ca/trends/explore?q=the+middle-aged+deliveryman+becomes+an+invincible+swordsman+as+a+side+job&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Invincible,2,Invincible season 3 episode 1 release date,https://trends.google.ca/trends/explore?q=invincible+season+3+episode+1+release+date&date=now+7-d&geo=US,+650%,217,Franchise,2024-10-03
Invincible,3,Vincible,https://trends.google.ca/trends/explore?q=vincible&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
Invincible,4,When is the new season of invincible coming out,https://trends.google.ca/trends/explore?q=when+is+the+new+season+of+invincible+coming+out&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
Invincible,5,Mark hamill,https://trends.google.ca/trends/explore?q=mark+hamill&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
Invincible,6,Invincible merch,https://trends.google.ca/trends/explore?q=invincible+merch&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
Invincible,7,Mark hamill invincible,https://trends.google.ca/trends/explore?q=mark+hamill+invincible&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
Invincible,8,Soon i will be invincible,https://trends.google.ca/trends/explore?q=soon+i+will+be+invincible&date=now+7-d&geo=US,+120%,217,Franchise,2024-10-03
Invincible,9,Return of the invincible commander,https://trends.google.ca/trends/explore?q=return+of+the+invincible+commander&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
Invincible,10,Invincible fight girl,https://trends.google.ca/trends/explore?q=invincible+fight+girl&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
Invincible,11,Hell's paradise,https://trends.google.ca/trends/explore?q=hell's+paradise&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Invincible,12,Lamborghini invincible,https://trends.google.ca/trends/explore?q=lamborghini+invincible&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Invincible,13,Invincible halloween costume,https://trends.google.ca/trends/explore?q=invincible+halloween+costume&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Invincible,14,Invincible and atom eve,https://trends.google.ca/trends/explore?q=invincible+and+atom+eve&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Invincible,15,When did invincible season 2 come out,https://trends.google.ca/trends/explore?q=when+did+invincible+season+2+come+out&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Invincible,16,Invincible mount wow,https://trends.google.ca/trends/explore?q=invincible+mount+wow&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Invincible,17,Wow invincible mount,https://trends.google.ca/trends/explore?q=wow+invincible+mount&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Invincible,18,Hms invincible,https://trends.google.ca/trends/explore?q=hms+invincible&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Invincible,19,Invincible def,https://trends.google.ca/trends/explore?q=invincible+def&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Invincible,20,The incredibles,https://trends.google.ca/trends/explore?q=the+incredibles&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Invincible,21,Hemovorous the invincible,https://trends.google.ca/trends/explore?q=hemovorous+the+invincible&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Invincible,22,The boys season 5,https://trends.google.ca/trends/explore?q=the+boys+season+5&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Invincible,23,Invincible age rating,https://trends.google.ca/trends/explore?q=invincible+age+rating&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Invincible,24,Incredibles,https://trends.google.ca/trends/explore?q=incredibles&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Invincible,25,Invincible after shocking my empress wife,https://trends.google.ca/trends/explore?q=invincible+after+shocking+my+empress+wife&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
