Link,Label Text,Rising Value,Line Number
https://trends.google.ca/trends/explore?q=iphone+15+discontinued&date=now+7-d&geo=CA,iphone 15 discontinued,+350%,1
https://trends.google.ca/trends/explore?q=iphone+16+pro+max+case&date=now+7-d&geo=CA,iphone 16 pro max case,+300%,2
https://trends.google.ca/trends/explore?q=iphone+16+pro+cases&date=now+7-d&geo=CA,iphone 16 pro cases,+250%,3
https://trends.google.ca/trends/explore?q=iphone+16+pro+case&date=now+7-d&geo=CA,iphone 16 pro case,+250%,4
https://trends.google.ca/trends/explore?q=iphone+upgrade+program&date=now+7-d&geo=CA,iphone upgrade program,+250%,5
https://trends.google.ca/trends/explore?q=buy+iphone+16+pro+max&date=now+7-d&geo=CA,buy iphone 16 pro max,+250%,6
https://trends.google.ca/trends/explore?q=iphone+16+case&date=now+7-d&geo=CA,iphone 16 case,+250%,7
https://trends.google.ca/trends/explore?q=iphone+16+pro+max+desert+titanium&date=now+7-d&geo=CA,iphone 16 pro max desert titanium,+200%,8
https://trends.google.ca/trends/explore?q=iphone+17+rumors&date=now+7-d&geo=CA,iphone 17 rumors,+180%,9
https://trends.google.ca/trends/explore?q=desert+titanium+iphone&date=now+7-d&geo=CA,desert titanium iphone,+170%,10
https://trends.google.ca/trends/explore?q=iphone+16+pro+desert+titanium&date=now+7-d&geo=CA,iphone 16 pro desert titanium,+170%,11
https://trends.google.ca/trends/explore?q=iphone+16+pro+review&date=now+7-d&geo=CA,iphone 16 pro review,+160%,12
https://trends.google.ca/trends/explore?q=iphone+16+pro+max+price+in+canada&date=now+7-d&geo=CA,iphone 16 pro max price in canada,+150%,13
https://trends.google.ca/trends/explore?q=iphone+16+pro+max+price+in+canada+256gb&date=now+7-d&geo=CA,iphone 16 pro max price in canada 256gb,+140%,14
https://trends.google.ca/trends/explore?q=pink+iphone+16&date=now+7-d&geo=CA,pink iphone 16,+140%,15
https://trends.google.ca/trends/explore?q=iphone+16+pro+max+price+in+india&date=now+7-d&geo=CA,iphone 16 pro max price in india,+140%,16
https://trends.google.ca/trends/explore?q=bell+iphone+16+pro&date=now+7-d&geo=CA,bell iphone 16 pro,+140%,17
https://trends.google.ca/trends/explore?q=telus+iphone+16+pro+max&date=now+7-d&geo=CA,telus iphone 16 pro max,+140%,18
https://trends.google.ca/trends/explore?q=iphone+16+pink&date=now+7-d&geo=CA,iphone 16 pink,+130%,19
https://trends.google.ca/trends/explore?q=iphone+16+plus&date=now+7-d&geo=CA,iphone 16 plus,+130%,20
https://trends.google.ca/trends/explore?q=iphone+16+pro+price+in+india&date=now+7-d&geo=CA,iphone 16 pro price in india,+120%,21
https://trends.google.ca/trends/explore?q=iphone+16+review&date=now+7-d&geo=CA,iphone 16 review,+120%,22
https://trends.google.ca/trends/explore?q=iphone+16+pro+price+in+canada&date=now+7-d&geo=CA,iphone 16 pro price in canada,+120%,23
https://trends.google.ca/trends/explore?q=iphone+16+promax&date=now+7-d&geo=CA,iphone 16 promax,+120%,24
https://trends.google.ca/trends/explore?q=bell+iphone+16+pro+max&date=now+7-d&geo=CA,bell iphone 16 pro max,+110%,25
