Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Iron Man 3,1,Silver centurion iron man 3,https://trends.google.ca/trends/explore?q=silver+centurion+iron+man+3&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Iron Man 3,2,The amazing spider-man 2,https://trends.google.ca/trends/explore?q=the+amazing+spider-man+2&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Iron Man 3,3,Internet archive,https://trends.google.ca/trends/explore?q=internet+archive&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Iron Man 3,4,Iron man 3 end credit scene,https://trends.google.ca/trends/explore?q=iron+man+3+end+credit+scene&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Iron Man 3,5,What year did iron man 3 come out,https://trends.google.ca/trends/explore?q=what+year+did+iron+man+3+come+out&date=now+7-d&geo=US,"+4,450%",154,Movie,2024-10-03
Iron Man 3,6,When does iron man 3 take place,https://trends.google.ca/trends/explore?q=when+does+iron+man+3+take+place&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Iron Man 3,7,Elena of avalor,https://trends.google.ca/trends/explore?q=elena+of+avalor&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Iron Man 3,8,Marvel movies in chronological order,https://trends.google.ca/trends/explore?q=marvel+movies+in+chronological+order&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Iron Man 3,9,Spider man homecoming,https://trends.google.ca/trends/explore?q=spider+man+homecoming&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Iron Man 3,10,The amazing spider-man,https://trends.google.ca/trends/explore?q=the+amazing+spider-man&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Iron Man 3,11,Thor love and thunder,https://trends.google.ca/trends/explore?q=thor+love+and+thunder&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Iron Man 3,12,Doctor strange in the multiverse of madness,https://trends.google.ca/trends/explore?q=doctor+strange+in+the+multiverse+of+madness&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Iron Man 3,13,What to watch after iron man 3,https://trends.google.ca/trends/explore?q=what+to+watch+after+iron+man+3&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Iron Man 3,14,Jon favreau,https://trends.google.ca/trends/explore?q=jon+favreau&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Iron Man 3,15,Scarlett johansson,https://trends.google.ca/trends/explore?q=scarlett+johansson&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Iron Man 3,16,Iron man 3 summary,https://trends.google.ca/trends/explore?q=iron+man+3+summary&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
Iron Man 3,17,Iron man mk 2,https://trends.google.ca/trends/explore?q=iron+man+mk+2&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
Iron Man 3,18,Meta quest 3,https://trends.google.ca/trends/explore?q=meta+quest+3&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Iron Man 3,19,Iron man 3 online,https://trends.google.ca/trends/explore?q=iron+man+3+online&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Iron Man 3,20,Iron man 3 soundtrack,https://trends.google.ca/trends/explore?q=iron+man+3+soundtrack&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Iron Man 3,21,3 musketeers,https://trends.google.ca/trends/explore?q=3+musketeers&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Iron Man 3,22,Spider man movies,https://trends.google.ca/trends/explore?q=spider+man+movies&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
