Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Jason Bourne,1,Jason bourne for one crossword,https://trends.google.ca/trends/explore?q=jason+bourne+for+one+crossword&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Jason Bourne,2,Riz ahmed,https://trends.google.ca/trends/explore?q=riz+ahmed&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Jason Bourne,3,Aaron hernandez,https://trends.google.ca/trends/explore?q=aaron+hernandez&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Jason Bourne,4,Chaplin's spouse,https://trends.google.ca/trends/explore?q=chaplin's+spouse&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Jason Bourne,5,Killer heat,https://trends.google.ca/trends/explore?q=killer+heat&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Jason Bourne,6,Travertine,https://trends.google.ca/trends/explore?q=travertine&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Jason Bourne,7,Jason bourne film order,https://trends.google.ca/trends/explore?q=jason+bourne+film+order&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Jason Bourne,8,Jason bourne books in chronological order,https://trends.google.ca/trends/explore?q=jason+bourne+books+in+chronological+order&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Jason Bourne,9,Jason bourne for one,https://trends.google.ca/trends/explore?q=jason+bourne+for+one&date=now+7-d&geo=US,+550%,154,Movie,2024-10-03
Jason Bourne,10,Alicia vikander,https://trends.google.ca/trends/explore?q=alicia+vikander&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Jason Bourne,11,Cast jason bourne,https://trends.google.ca/trends/explore?q=cast+jason+bourne&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Jason Bourne,12,Julia stiles,https://trends.google.ca/trends/explore?q=julia+stiles&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Jason Bourne,13,Jason bourne 2016 cast,https://trends.google.ca/trends/explore?q=jason+bourne+2016+cast&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Jason Bourne,14,Cast of jason bourne,https://trends.google.ca/trends/explore?q=cast+of+jason+bourne&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
