Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Jersey Shore: Family Vacation,1,Jersey shore family vacation season 7 episode 2,https://trends.google.ca/trends/explore?q=jersey+shore+family+vacation+season+7+episode+2&date=now+7-d&geo=US,+550%,216,TV Show,2024-10-03
Jersey Shore: Family Vacation,2,Pauly d daughter,https://trends.google.ca/trends/explore?q=pauly+d+daughter&date=now+7-d&geo=US,+350%,216,TV Show,2024-10-03
Jersey Shore: Family Vacation,3,Mtv jersey shore family vacation episodes,https://trends.google.ca/trends/explore?q=mtv+jersey+shore+family+vacation+episodes&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-03
Jersey Shore: Family Vacation,4,Jersey shore family vacation episode guide,https://trends.google.ca/trends/explore?q=jersey+shore+family+vacation+episode+guide&date=now+7-d&geo=US,+170%,216,TV Show,2024-10-03
Jersey Shore: Family Vacation,5,Mtv shows,https://trends.google.ca/trends/explore?q=mtv+shows&date=now+7-d&geo=US,+150%,216,TV Show,2024-10-03
Jersey Shore: Family Vacation,6,Jersey shore family vacation episode,https://trends.google.ca/trends/explore?q=jersey+shore+family+vacation+episode&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Jersey Shore: Family Vacation,7,Jersey family vacation season 7,https://trends.google.ca/trends/explore?q=jersey+family+vacation+season+7&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Jersey Shore: Family Vacation,8,Jersey shore family vacation season 7,https://trends.google.ca/trends/explore?q=jersey+shore+family+vacation+season+7&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Jersey Shore: Family Vacation,9,Jersey shore episodes,https://trends.google.ca/trends/explore?q=jersey+shore+episodes&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
Jersey Shore: Family Vacation,10,Jersey shore family vacation episodes,https://trends.google.ca/trends/explore?q=jersey+shore+family+vacation+episodes&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
