Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Jojo's Bizarre Adventure,1,Jojo's bizarre adventure 1993,https://trends.google.ca/trends/explore?q=jojo's+bizarre+adventure+1993&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,2,Jojo's bizarre adventure stone ocean part 2,https://trends.google.ca/trends/explore?q=jojo's+bizarre+adventure+stone+ocean+part+2&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,3,Who is the main character in jojo's bizarre adventure,https://trends.google.ca/trends/explore?q=who+is+the+main+character+in+jojo's+bizarre+adventure&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,4,Fullmetal alchemist,https://trends.google.ca/trends/explore?q=fullmetal+alchemist&date=now+7-d&geo=US,+400%,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,5,Jojo's bizarre adventure ova,https://trends.google.ca/trends/explore?q=jojo's+bizarre+adventure+ova&date=now+7-d&geo=US,+350%,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,6,Aniwatch,https://trends.google.ca/trends/explore?q=aniwatch&date=now+7-d&geo=US,+300%,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,7,Jojo's bizarre adventure mal,https://trends.google.ca/trends/explore?q=jojo's+bizarre+adventure+mal&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,8,Fist of the north star,https://trends.google.ca/trends/explore?q=fist+of+the+north+star&date=now+7-d&geo=US,+160%,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,9,Jojo's bizarre adventure opening 2,https://trends.google.ca/trends/explore?q=jojo's+bizarre+adventure+opening+2&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,10,Aot,https://trends.google.ca/trends/explore?q=aot&date=now+7-d&geo=US,+120%,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,11,Jojo's bizarre adventure voice actors,https://trends.google.ca/trends/explore?q=jojo's+bizarre+adventure+voice+actors&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,12,Fire force,https://trends.google.ca/trends/explore?q=fire+force&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,13,Jojo's bizarre adventure age rating,https://trends.google.ca/trends/explore?q=jojo's+bizarre+adventure+age+rating&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,14,Jojo's bizarre adventure part 3,https://trends.google.ca/trends/explore?q=jojo's+bizarre+adventure+part+3&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,15,Hajime no ippo,https://trends.google.ca/trends/explore?q=hajime+no+ippo&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,16,Jojo's bizarre adventure meme,https://trends.google.ca/trends/explore?q=jojo's+bizarre+adventure+meme&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,17,Jojo's bizarre adventure stone ocean,https://trends.google.ca/trends/explore?q=jojo's+bizarre+adventure+stone+ocean&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Jojo's Bizarre Adventure,18,Jojo's bizarre adventure part 7,https://trends.google.ca/trends/explore?q=jojo's+bizarre+adventure+part+7&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
