Line Number,Label Text,Link,Rising Value
1,Jordan tatum 3,https://trends.google.ca/trends/explore?q=jordan+tatum+3&date=now+1-d&geo=CA,Breakout
2,Upcoming jordan releases,https://trends.google.ca/trends/explore?q=upcoming+jordan+releases&date=now+1-d&geo=CA,Breakout
3,Jd sport,https://trends.google.ca/trends/explore?q=jd+sport&date=now+1-d&geo=CA,Breakout
4,Kelani jordan,https://trends.google.ca/trends/explore?q=kelani+jordan&date=now+1-d&geo=CA,Breakout
5,Jordan six rings,https://trends.google.ca/trends/explore?q=jordan+six+rings&date=now+1-d&geo=CA,Breakout
6,Is jordan love playing week 4,https://trends.google.ca/trends/explore?q=is+jordan+love+playing+week+4&date=now+1-d&geo=CA,Breakout
7,Jordan davis abbotsford,https://trends.google.ca/trends/explore?q=jordan+davis+abbotsford&date=now+1-d&geo=CA,"+3,200%"
8,Jordan mailata,https://trends.google.ca/trends/explore?q=jordan+mailata&date=now+1-d&geo=CA,+750%
9,6 rings jordan,https://trends.google.ca/trends/explore?q=6+rings+jordan&date=now+1-d&geo=CA,+650%
10,Stephen curry,https://trends.google.ca/trends/explore?q=stephen+curry&date=now+1-d&geo=CA,+450%
11,Jordan oesterle,https://trends.google.ca/trends/explore?q=jordan+oesterle&date=now+1-d&geo=CA,+300%
12,Jordan river weather,https://trends.google.ca/trends/explore?q=jordan+river+weather&date=now+1-d&geo=CA,+250%
13,Claudia jordan,https://trends.google.ca/trends/explore?q=claudia+jordan&date=now+1-d&geo=CA,+250%
14,Michael jordan carpenter,https://trends.google.ca/trends/explore?q=michael+jordan+carpenter&date=now+1-d&geo=CA,+190%
15,Jordan 4 university blue,https://trends.google.ca/trends/explore?q=jordan+4+university+blue&date=now+1-d&geo=CA,+190%
16,Jordan davis kelowna,https://trends.google.ca/trends/explore?q=jordan+davis+kelowna&date=now+1-d&geo=CA,+130%
17,Jordan eberle,https://trends.google.ca/trends/explore?q=jordan+eberle&date=now+1-d&geo=CA,+130%
18,Charly jordan,https://trends.google.ca/trends/explore?q=charly+jordan&date=now+1-d&geo=CA,+110%
19,Jordan davis songs,https://trends.google.ca/trends/explore?q=jordan+davis+songs&date=now+1-d&geo=CA,+110%
20,Jordan davis calgary,https://trends.google.ca/trends/explore?q=jordan+davis+calgary&date=now+1-d&geo=CA,+100%
21,Jordan romano,https://trends.google.ca/trends/explore?q=jordan+romano&date=now+1-d&geo=CA,+100%
22,Jordan bardella,https://trends.google.ca/trends/explore?q=jordan+bardella&date=now+1-d&geo=CA,+90%
23,Jordan binnington,https://trends.google.ca/trends/explore?q=jordan+binnington&date=now+1-d&geo=CA,+80%
24,Jordan river anderson,https://trends.google.ca/trends/explore?q=jordan+river+anderson&date=now+1-d&geo=CA,+80%
25,Travis scott jordan 1 medium olive,https://trends.google.ca/trends/explore?q=travis+scott+jordan+1+medium+olive&date=now+1-d&geo=CA,+80%
