Query,Line Number,Seed,Link,Rising Value,Date
 June,1,June squib,https://trends.google.ca/trends/explore?q=june+squib&date=now+1-d&geo=CA,Breakout,2024-09-27
 June,2,Mama june daughter passed away,https://trends.google.ca/trends/explore?q=mama+june+daughter+passed+away&date=now+1-d&geo=CA,Breakout,2024-09-27
 June,3,June 1 zodiac,https://trends.google.ca/trends/explore?q=june+1+zodiac&date=now+1-d&geo=CA,+750%,2024-09-27
 June,4,Momma june,https://trends.google.ca/trends/explore?q=momma+june&date=now+1-d&geo=CA,+350%,2024-09-27
 June,5,June 14th,https://trends.google.ca/trends/explore?q=june+14th&date=now+1-d&geo=CA,+350%,2024-09-27
 June,6,Alexandrite,https://trends.google.ca/trends/explore?q=alexandrite&date=now+1-d&geo=CA,+250%,2024-09-27
 June,7,Johnny cash and june carter,https://trends.google.ca/trends/explore?q=johnny+cash+and+june+carter&date=now+1-d&geo=CA,+250%,2024-09-27
 June,8,June 28 zodiac,https://trends.google.ca/trends/explore?q=june+28+zodiac&date=now+1-d&geo=CA,+250%,2024-09-27
 June,9,Florida in june,https://trends.google.ca/trends/explore?q=florida+in+june&date=now+1-d&geo=CA,+200%,2024-09-27
 June,10,Mama june from not to hot,https://trends.google.ca/trends/explore?q=mama+june+from+not+to+hot&date=now+1-d&geo=CA,+200%,2024-09-27
 June,11,June lockhart,https://trends.google.ca/trends/explore?q=june+lockhart&date=now+1-d&geo=CA,+200%,2024-09-27
 June,12,May birthstone,https://trends.google.ca/trends/explore?q=may+birthstone&date=now+1-d&geo=CA,+160%,2024-09-27
 June,13,June 20 zodiac,https://trends.google.ca/trends/explore?q=june+20+zodiac&date=now+1-d&geo=CA,+160%,2024-09-27
 June,14,June shannon,https://trends.google.ca/trends/explore?q=june+shannon&date=now+1-d&geo=CA,+120%,2024-09-27
 June,15,Olive and june,https://trends.google.ca/trends/explore?q=olive+and+june&date=now+1-d&geo=CA,+110%,2024-09-27
 June,16,June callwood,https://trends.google.ca/trends/explore?q=june+callwood&date=now+1-d&geo=CA,+100%,2024-09-27
 June,17,June squibb,https://trends.google.ca/trends/explore?q=june+squibb&date=now+1-d&geo=CA,+100%,2024-09-27
 June,18,Mama june kids,https://trends.google.ca/trends/explore?q=mama+june+kids&date=now+1-d&geo=CA,+100%,2024-09-27
 June,19,June 15 zodiac,https://trends.google.ca/trends/explore?q=june+15+zodiac&date=now+1-d&geo=CA,+90%,2024-09-27
 June,20,Emily june,https://trends.google.ca/trends/explore?q=emily+june&date=now+1-d&geo=CA,+90%,2024-09-27
 June,21,June carter cash,https://trends.google.ca/trends/explore?q=june+carter+cash&date=now+1-d&geo=CA,+80%,2024-09-27
 June,22,Honey boo boo,https://trends.google.ca/trends/explore?q=honey+boo+boo&date=now+1-d&geo=CA,+60%,2024-09-27
 June,23,June 24 zodiac,https://trends.google.ca/trends/explore?q=june+24+zodiac&date=now+1-d&geo=CA,+50%,2024-09-27
 June,24,June motel sauble beach,https://trends.google.ca/trends/explore?q=june+motel+sauble+beach&date=now+1-d&geo=CA,+40%,2024-09-27
