Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Jurassic Park,1,Bd wong,https://trends.google.ca/trends/explore?q=bd+wong&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Jurassic Park,2,Jurassic park legos,https://trends.google.ca/trends/explore?q=jurassic+park+legos&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Jurassic Park,3,Jurassic park book release date,https://trends.google.ca/trends/explore?q=jurassic+park+book+release+date&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Jurassic Park,4,Jurassic park classic games collection,https://trends.google.ca/trends/explore?q=jurassic+park+classic+games+collection&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Jurassic Park,5,Unmatched jurassic park,https://trends.google.ca/trends/explore?q=unmatched+jurassic+park&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Jurassic Park,6,Jurassic park book pdf,https://trends.google.ca/trends/explore?q=jurassic+park+book+pdf&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Jurassic Park,7,Deinonychus,https://trends.google.ca/trends/explore?q=deinonychus&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Jurassic Park,8,Laura dern sam neill jurassic park,https://trends.google.ca/trends/explore?q=laura+dern+sam+neill+jurassic+park&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Jurassic Park,9,Scarlett johansson jurassic park,https://trends.google.ca/trends/explore?q=scarlett+johansson+jurassic+park&date=now+1-d&geo=US,+400%,217,Franchise,2024-10-02
Jurassic Park,10,Jurassic park ford explorer,https://trends.google.ca/trends/explore?q=jurassic+park+ford+explorer&date=now+1-d&geo=US,+300%,217,Franchise,2024-10-02
Jurassic Park,11,Jurassic park imdb,https://trends.google.ca/trends/explore?q=jurassic+park+imdb&date=now+1-d&geo=US,+170%,217,Franchise,2024-10-02
Jurassic Park,12,Jurassic park iii,https://trends.google.ca/trends/explore?q=jurassic+park+iii&date=now+1-d&geo=US,+150%,217,Franchise,2024-10-02
Jurassic Park,13,Jurassic park books in order,https://trends.google.ca/trends/explore?q=jurassic+park+books+in+order&date=now+1-d&geo=US,+140%,217,Franchise,2024-10-02
Jurassic Park,14,Jurassic park actress,https://trends.google.ca/trends/explore?q=jurassic+park+actress&date=now+1-d&geo=US,+130%,217,Franchise,2024-10-02
Jurassic Park,15,Ellie sattler,https://trends.google.ca/trends/explore?q=ellie+sattler&date=now+1-d&geo=US,+130%,217,Franchise,2024-10-02
Jurassic Park,16,Jurassic park loungefly,https://trends.google.ca/trends/explore?q=jurassic+park+loungefly&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
Jurassic Park,17,Utahraptor,https://trends.google.ca/trends/explore?q=utahraptor&date=now+1-d&geo=US,+110%,217,Franchise,2024-10-02
Jurassic Park,18,Dodgson jurassic park,https://trends.google.ca/trends/explore?q=dodgson+jurassic+park&date=now+1-d&geo=US,+110%,217,Franchise,2024-10-02
Jurassic Park,19,How to watch jurassic park,https://trends.google.ca/trends/explore?q=how+to+watch+jurassic+park&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Jurassic Park,20,Jurassic park book series,https://trends.google.ca/trends/explore?q=jurassic+park+book+series&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Jurassic Park,21,Jurassic park 2023,https://trends.google.ca/trends/explore?q=jurassic+park+2023&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Jurassic Park,22,Jurassic park cane,https://trends.google.ca/trends/explore?q=jurassic+park+cane&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Jurassic Park,23,Muldoon jurassic park,https://trends.google.ca/trends/explore?q=muldoon+jurassic+park&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Jurassic Park,24,Jurassic park animatronics,https://trends.google.ca/trends/explore?q=jurassic+park+animatronics&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Jurassic Park,25,Jurassic park music,https://trends.google.ca/trends/explore?q=jurassic+park+music&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
