Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Keeping Up With The Kardashians,1,Brody jenner,https://trends.google.ca/trends/explore?q=brody+jenner&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Keeping Up With The Kardashians,2,Keeping up with the kardashians producer,https://trends.google.ca/trends/explore?q=keeping+up+with+the+kardashians+producer&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Keeping Up With The Kardashians,3,Where can u watch keeping up with the kardashians,https://trends.google.ca/trends/explore?q=where+can+u+watch+keeping+up+with+the+kardashians&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Keeping Up With The Kardashians,4,Cast of keeping up with the kardashians,https://trends.google.ca/trends/explore?q=cast+of+keeping+up+with+the+kardashians&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Keeping Up With The Kardashians,5,Where to stream keeping up with the kardashians,https://trends.google.ca/trends/explore?q=where+to+stream+keeping+up+with+the+kardashians&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Keeping Up With The Kardashians,6,Lamar odom,https://trends.google.ca/trends/explore?q=lamar+odom&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-03
Keeping Up With The Kardashians,7,Is keeping up with the kardashians over,https://trends.google.ca/trends/explore?q=is+keeping+up+with+the+kardashians+over&date=now+7-d&geo=US,+180%,216,TV Show,2024-10-03
Keeping Up With The Kardashians,8,Kardashians cancelled,https://trends.google.ca/trends/explore?q=kardashians+cancelled&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-03
Keeping Up With The Kardashians,9,Kourtney and kim take miami,https://trends.google.ca/trends/explore?q=kourtney+and+kim+take+miami&date=now+7-d&geo=US,+150%,216,TV Show,2024-10-03
Keeping Up With The Kardashians,10,Is keeping up with the kardashians on hulu,https://trends.google.ca/trends/explore?q=is+keeping+up+with+the+kardashians+on+hulu&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Keeping Up With The Kardashians,11,Is keeping up with the kardashians scripted,https://trends.google.ca/trends/explore?q=is+keeping+up+with+the+kardashians+scripted&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Keeping Up With The Kardashians,12,Kris jenner,https://trends.google.ca/trends/explore?q=kris+jenner&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Keeping Up With The Kardashians,13,Kim k,https://trends.google.ca/trends/explore?q=kim+k&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Keeping Up With The Kardashians,14,Hulu keeping up with the kardashians,https://trends.google.ca/trends/explore?q=hulu+keeping+up+with+the+kardashians&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Keeping Up With The Kardashians,15,Hulu,https://trends.google.ca/trends/explore?q=hulu&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Keeping Up With The Kardashians,16,Randall emmett keeping up with the kardashians,https://trends.google.ca/trends/explore?q=randall+emmett+keeping+up+with+the+kardashians&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Keeping Up With The Kardashians,17,Keeping up with the kardashians season 8,https://trends.google.ca/trends/explore?q=keeping+up+with+the+kardashians+season+8&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Keeping Up With The Kardashians,18,Keeping up with the kardashians 123movies,https://trends.google.ca/trends/explore?q=keeping+up+with+the+kardashians+123movies&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Keeping Up With The Kardashians,19,Keeping up with the kardashians streaming,https://trends.google.ca/trends/explore?q=keeping+up+with+the+kardashians+streaming&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
