Line Number,Label Text,Link,Rising Value
1,P diddy kim kardashian,https://trends.google.ca/trends/explore?q=p+diddy+kim+kardashian&date=now+7-d&geo=CA,Breakout
2,P diddy,https://trends.google.ca/trends/explore?q=p+diddy&date=now+7-d&geo=CA,Breakout
3,Sean combs,https://trends.google.ca/trends/explore?q=sean+combs&date=now+7-d&geo=CA,Breakout
4,Sean diddy combs,https://trends.google.ca/trends/explore?q=sean+diddy+combs&date=now+7-d&geo=CA,Breakout
5,Puff daddy,https://trends.google.ca/trends/explore?q=puff+daddy&date=now+7-d&geo=CA,Breakout
6,Kim kardashian bracelet,https://trends.google.ca/trends/explore?q=kim+kardashian+bracelet&date=now+7-d&geo=CA,Breakout
7,Who was p diddy married to,https://trends.google.ca/trends/explore?q=who+was+p+diddy+married+to&date=now+7-d&geo=CA,Breakout
8,Diddy net worth,https://trends.google.ca/trends/explore?q=diddy+net+worth&date=now+7-d&geo=CA,Breakout
9,Sean combs wife,https://trends.google.ca/trends/explore?q=sean+combs+wife&date=now+7-d&geo=CA,Breakout
10,P diddy news,https://trends.google.ca/trends/explore?q=p+diddy+news&date=now+7-d&geo=CA,Breakout
11,Kim kardashian cybertruck,https://trends.google.ca/trends/explore?q=kim+kardashian+cybertruck&date=now+7-d&geo=CA,Breakout
12,North west age,https://trends.google.ca/trends/explore?q=north+west+age&date=now+7-d&geo=CA,Breakout
13,Kim kardashian clothing line,https://trends.google.ca/trends/explore?q=kim+kardashian+clothing+line&date=now+7-d&geo=CA,Breakout
14,Kanye west wife,https://trends.google.ca/trends/explore?q=kanye+west+wife&date=now+7-d&geo=CA,Breakout
15,Lady gaga,https://trends.google.ca/trends/explore?q=lady+gaga&date=now+7-d&geo=CA,Breakout
16,Cristiano ronaldo,https://trends.google.ca/trends/explore?q=cristiano+ronaldo&date=now+7-d&geo=CA,Breakout
17,Pdiddy,https://trends.google.ca/trends/explore?q=pdiddy&date=now+7-d&geo=CA,Breakout
18,Kim kardashian boyfriends list in order,https://trends.google.ca/trends/explore?q=kim+kardashian+boyfriends+list+in+order&date=now+7-d&geo=CA,Breakout
19,Julia roberts,https://trends.google.ca/trends/explore?q=julia+roberts&date=now+7-d&geo=CA,"+4,750%"
20,Who was married to kim kardashian,https://trends.google.ca/trends/explore?q=who+was+married+to+kim+kardashian&date=now+7-d&geo=CA,"+1,750%"
21,Diddy,https://trends.google.ca/trends/explore?q=diddy&date=now+7-d&geo=CA,"+1,750%"
22,Diddy and kim kardashian,https://trends.google.ca/trends/explore?q=diddy+and+kim+kardashian&date=now+7-d&geo=CA,"+1,750%"
23,Kim kardashian diddy,https://trends.google.ca/trends/explore?q=kim+kardashian+diddy&date=now+7-d&geo=CA,"+1,550%"
24,Diddy combs,https://trends.google.ca/trends/explore?q=diddy+combs&date=now+7-d&geo=CA,+800%
25,Kim kardashian ex husband,https://trends.google.ca/trends/explore?q=kim+kardashian+ex+husband&date=now+7-d&geo=CA,+650%
