Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
 Kraven the Hunter,1,Morbius 2,https://trends.google.ca/trends/explore?q=morbius+2&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Kraven the Hunter,2,Azrael,https://trends.google.ca/trends/explore?q=azrael&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Kraven the Hunter,3,Movies coming out in november 2024,https://trends.google.ca/trends/explore?q=movies+coming+out+in+november+2024&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Kraven the Hunter,4,Ballerina,https://trends.google.ca/trends/explore?q=ballerina&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
 Kraven the Hunter,5,Blink twice,https://trends.google.ca/trends/explore?q=blink+twice&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
 Kraven the Hunter,6,Venom let there be carnage,https://trends.google.ca/trends/explore?q=venom+let+there+be+carnage&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
 Kraven the Hunter,7,Smile 2,https://trends.google.ca/trends/explore?q=smile+2&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
 Kraven the Hunter,8,Marvel movies in order,https://trends.google.ca/trends/explore?q=marvel+movies+in+order&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
 Kraven the Hunter,9,How strong is kraven the hunter,https://trends.google.ca/trends/explore?q=how+strong+is+kraven+the+hunter&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
 Kraven the Hunter,10,The lord of the rings the war of the rohirrim,https://trends.google.ca/trends/explore?q=the+lord+of+the+rings+the+war+of+the+rohirrim&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
 Kraven the Hunter,11,Rhino in kraven the hunter,https://trends.google.ca/trends/explore?q=rhino+in+kraven+the+hunter&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
 Kraven the Hunter,12,El muerto,https://trends.google.ca/trends/explore?q=el+muerto&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
 Kraven the Hunter,13,We live in time,https://trends.google.ca/trends/explore?q=we+live+in+time&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
 Kraven the Hunter,14,Beetlejuice 2,https://trends.google.ca/trends/explore?q=beetlejuice+2&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
 Kraven the Hunter,15,Kraven the hunter rating,https://trends.google.ca/trends/explore?q=kraven+the+hunter+rating&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
 Kraven the Hunter,16,The fantastic four first steps,https://trends.google.ca/trends/explore?q=the+fantastic+four+first+steps&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
 Kraven the Hunter,17,Where can i watch kraven the hunter,https://trends.google.ca/trends/explore?q=where+can+i+watch+kraven+the+hunter&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
 Kraven the Hunter,18,Kraven the hunter lego,https://trends.google.ca/trends/explore?q=kraven+the+hunter+lego&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
 Kraven the Hunter,19,Wicked movie,https://trends.google.ca/trends/explore?q=wicked+movie&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
 Kraven the Hunter,20,Tobey maguire,https://trends.google.ca/trends/explore?q=tobey+maguire&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
 Kraven the Hunter,21,Deadpool,https://trends.google.ca/trends/explore?q=deadpool&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
