Line Number,Label Text,Link,Rising Value
1,Bill gates,https://trends.google.ca/trends/explore?q=bill+gates&date=now+7-d&geo=CA,Breakout
2,Lady gaga facebook page,https://trends.google.ca/trends/explore?q=lady+gaga+facebook+page&date=now+7-d&geo=CA,Breakout
3,Lady gaga new fiance,https://trends.google.ca/trends/explore?q=lady+gaga+new+fiance&date=now+7-d&geo=CA,Breakout
4,Is lady gaga italian,https://trends.google.ca/trends/explore?q=is+lady+gaga+italian&date=now+7-d&geo=CA,Breakout
5,Lady gaga sexuality,https://trends.google.ca/trends/explore?q=lady+gaga+sexuality&date=now+7-d&geo=CA,Breakout
6,Lady gaga song about where a crop can be found,https://trends.google.ca/trends/explore?q=lady+gaga+song+about+where+a+crop+can+be+found&date=now+7-d&geo=CA,Breakout
7,Lady gaga before fame,https://trends.google.ca/trends/explore?q=lady+gaga+before+fame&date=now+7-d&geo=CA,Breakout
8,Peter tosh songs,https://trends.google.ca/trends/explore?q=peter+tosh+songs&date=now+7-d&geo=CA,Breakout
9,Christian carino,https://trends.google.ca/trends/explore?q=christian+carino&date=now+7-d&geo=CA,Breakout
10,Bruno mars net worth,https://trends.google.ca/trends/explore?q=bruno+mars+net+worth&date=now+7-d&geo=CA,Breakout
11,Lady gaga iq,https://trends.google.ca/trends/explore?q=lady+gaga+iq&date=now+7-d&geo=CA,"+3,700%"
12,Bill gates lady gaga,https://trends.google.ca/trends/explore?q=bill+gates+lady+gaga&date=now+7-d&geo=CA,+950%
13,Lady gaga gender,https://trends.google.ca/trends/explore?q=lady+gaga+gender&date=now+7-d&geo=CA,+450%
14,Lady gaga dad,https://trends.google.ca/trends/explore?q=lady+gaga+dad&date=now+7-d&geo=CA,+400%
15,Lady gaga facebook group,https://trends.google.ca/trends/explore?q=lady+gaga+facebook+group&date=now+7-d&geo=CA,+300%
16,Lady gaga tour 2025,https://trends.google.ca/trends/explore?q=lady+gaga+tour+2025&date=now+7-d&geo=CA,+200%
17,Amy winehouse,https://trends.google.ca/trends/explore?q=amy+winehouse&date=now+7-d&geo=CA,+200%
18,Taylor kinney wife,https://trends.google.ca/trends/explore?q=taylor+kinney+wife&date=now+7-d&geo=CA,+200%
19,Katy perry net worth,https://trends.google.ca/trends/explore?q=katy+perry+net+worth&date=now+7-d&geo=CA,+200%
20,Lady gaga father,https://trends.google.ca/trends/explore?q=lady+gaga+father&date=now+7-d&geo=CA,+200%
21,Lady gaga romance song,https://trends.google.ca/trends/explore?q=lady+gaga+romance+song&date=now+7-d&geo=CA,+180%
22,Lady gaga hold my hand lyrics,https://trends.google.ca/trends/explore?q=lady+gaga+hold+my+hand+lyrics&date=now+7-d&geo=CA,+150%
