Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
League of Legends,1,Without a sound league of legends,https://trends.google.ca/trends/explore?q=without+a+sound+league+of+legends&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
League of Legends,2,Your shop is currently inactive league of legends,https://trends.google.ca/trends/explore?q=your+shop+is+currently+inactive+league+of+legends&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
League of Legends,3,League of legends patch 14.20,https://trends.google.ca/trends/explore?q=league+of+legends+patch+14.20&date=now+7-d&geo=US,+550%,217,Franchise,2024-10-03
League of Legends,4,Summit league,https://trends.google.ca/trends/explore?q=summit+league&date=now+7-d&geo=US,+500%,217,Franchise,2024-10-03
League of Legends,5,Lla league of legends,https://trends.google.ca/trends/explore?q=lla+league+of+legends&date=now+7-d&geo=US,+500%,217,Franchise,2024-10-03
League of Legends,6,Summit league of legends,https://trends.google.ca/trends/explore?q=summit+league+of+legends&date=now+7-d&geo=US,+450%,217,Franchise,2024-10-03
League of Legends,7,League of legends swiss stage,https://trends.google.ca/trends/explore?q=league+of+legends+swiss+stage&date=now+7-d&geo=US,+450%,217,Franchise,2024-10-03
League of Legends,8,R7 league of legends,https://trends.google.ca/trends/explore?q=r7+league+of+legends&date=now+7-d&geo=US,+350%,217,Franchise,2024-10-03
League of Legends,9,Movistar r7,https://trends.google.ca/trends/explore?q=movistar+r7&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
League of Legends,10,100 thieves league of legends,https://trends.google.ca/trends/explore?q=100+thieves+league+of+legends&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
League of Legends,11,100 thieves,https://trends.google.ca/trends/explore?q=100+thieves&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
League of Legends,12,Psg league of legends region,https://trends.google.ca/trends/explore?q=psg+league+of+legends+region&date=now+7-d&geo=US,+190%,217,Franchise,2024-10-03
League of Legends,13,Gam esports,https://trends.google.ca/trends/explore?q=gam+esports&date=now+7-d&geo=US,+170%,217,Franchise,2024-10-03
League of Legends,14,2009 champions league of legends,https://trends.google.ca/trends/explore?q=2009+champions+league+of+legends&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
League of Legends,15,Shg league of legends,https://trends.google.ca/trends/explore?q=shg+league+of+legends&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-03
League of Legends,16,Gam league of legends,https://trends.google.ca/trends/explore?q=gam+league+of+legends&date=now+7-d&geo=US,+120%,217,Franchise,2024-10-03
League of Legends,17,League of legends scores,https://trends.google.ca/trends/explore?q=league+of+legends+scores&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
League of Legends,18,Top esports,https://trends.google.ca/trends/explore?q=top+esports&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
League of Legends,19,We couldn't install a required dependency league of legends,https://trends.google.ca/trends/explore?q=we+couldn't+install+a+required+dependency+league+of+legends&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
League of Legends,20,League of legends worlds bracket,https://trends.google.ca/trends/explore?q=league+of+legends+worlds+bracket&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
League of Legends,21,Report a player league of legends,https://trends.google.ca/trends/explore?q=report+a+player+league+of+legends&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
League of Legends,22,Psg league,https://trends.google.ca/trends/explore?q=psg+league&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
League of Legends,23,League of legends world schedule,https://trends.google.ca/trends/explore?q=league+of+legends+world+schedule&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
League of Legends,24,Psg league of legends,https://trends.google.ca/trends/explore?q=psg+league+of+legends&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
League of Legends,25,League of legends shop,https://trends.google.ca/trends/explore?q=league+of+legends+shop&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
