Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Legends of Tomorrow,1,Victor garber,https://trends.google.ca/trends/explore?q=victor+garber&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Legends of Tomorrow,2,Super girl,https://trends.google.ca/trends/explore?q=super+girl&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Legends of Tomorrow,3,Legends of tomorrow reparto,https://trends.google.ca/trends/explore?q=legends+of+tomorrow+reparto&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Legends of Tomorrow,4,Supergirl cast,https://trends.google.ca/trends/explore?q=supergirl+cast&date=now+7-d&geo=US,+350%,216,TV Show,2024-10-03
Legends of Tomorrow,5,Dc legends of tomorrow cast season 2,https://trends.google.ca/trends/explore?q=dc+legends+of+tomorrow+cast+season+2&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-03
Legends of Tomorrow,6,Crisis on infinite earths episodes,https://trends.google.ca/trends/explore?q=crisis+on+infinite+earths+episodes&date=now+7-d&geo=US,+150%,216,TV Show,2024-10-03
Legends of Tomorrow,7,Maisie richardson-sellers,https://trends.google.ca/trends/explore?q=maisie+richardson-sellers&date=now+7-d&geo=US,+150%,216,TV Show,2024-10-03
Legends of Tomorrow,8,Legends of tomorrow season 7,https://trends.google.ca/trends/explore?q=legends+of+tomorrow+season+7&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
Legends of Tomorrow,9,Dc tv shows,https://trends.google.ca/trends/explore?q=dc+tv+shows&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Legends of Tomorrow,10,Suits cast,https://trends.google.ca/trends/explore?q=suits+cast&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Legends of Tomorrow,11,Gideon legends of tomorrow,https://trends.google.ca/trends/explore?q=gideon+legends+of+tomorrow&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Legends of Tomorrow,12,Arrow cast,https://trends.google.ca/trends/explore?q=arrow+cast&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Legends of Tomorrow,13,The flash tv show,https://trends.google.ca/trends/explore?q=the+flash+tv+show&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Legends of Tomorrow,14,Matt ryan,https://trends.google.ca/trends/explore?q=matt+ryan&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Legends of Tomorrow,15,Courtney ford,https://trends.google.ca/trends/explore?q=courtney+ford&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Legends of Tomorrow,16,Superman and lois,https://trends.google.ca/trends/explore?q=superman+and+lois&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Legends of Tomorrow,17,Legends of tomorrow streaming,https://trends.google.ca/trends/explore?q=legends+of+tomorrow+streaming&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
Legends of Tomorrow,18,Booster gold,https://trends.google.ca/trends/explore?q=booster+gold&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
Legends of Tomorrow,19,Legends of tomorrow season 5,https://trends.google.ca/trends/explore?q=legends+of+tomorrow+season+5&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
