Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Little Women,1,Bulgaria capital,https://trends.google.ca/trends/explore?q=bulgaria+capital&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Little Women,2,2022 cate blanchett film,https://trends.google.ca/trends/explore?q=2022+cate+blanchett+film&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Little Women,3,Capital of bulgaria,https://trends.google.ca/trends/explore?q=capital+of+bulgaria&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Little Women,4,Bulgaria's capital,https://trends.google.ca/trends/explore?q=bulgaria's+capital&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Little Women,5,Bulgaria,https://trends.google.ca/trends/explore?q=bulgaria&date=now+7-d&geo=US,"+3,050%",154,Movie,2024-10-03
Little Women,6,Cate blanchett,https://trends.google.ca/trends/explore?q=cate+blanchett&date=now+7-d&geo=US,"+2,300%",154,Movie,2024-10-03
Little Women,7,Alvarado of little women,https://trends.google.ca/trends/explore?q=alvarado+of+little+women&date=now+7-d&geo=US,"+2,250%",154,Movie,2024-10-03
Little Women,8,Alvarado little women,https://trends.google.ca/trends/explore?q=alvarado+little+women&date=now+7-d&geo=US,"+1,500%",154,Movie,2024-10-03
Little Women,9,Cate blanchett movies,https://trends.google.ca/trends/explore?q=cate+blanchett+movies&date=now+7-d&geo=US,+850%,154,Movie,2024-10-03
Little Women,10,Where the crawdads sing,https://trends.google.ca/trends/explore?q=where+the+crawdads+sing&date=now+7-d&geo=US,+450%,154,Movie,2024-10-03
Little Women,11,Where was little women filmed,https://trends.google.ca/trends/explore?q=where+was+little+women+filmed&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Little Women,12,Little caesars near me,https://trends.google.ca/trends/explore?q=little+caesars+near+me&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Little Women,13,Youve got mail,https://trends.google.ca/trends/explore?q=youve+got+mail&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Little Women,14,Little women full movie,https://trends.google.ca/trends/explore?q=little+women+full+movie&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Little Women,15,What does beth die from in little women,https://trends.google.ca/trends/explore?q=what+does+beth+die+from+in+little+women&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Little Women,16,Little bo peep costume,https://trends.google.ca/trends/explore?q=little+bo+peep+costume&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Little Women,17,Autumn in new york,https://trends.google.ca/trends/explore?q=autumn+in+new+york&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Little Women,18,Emma watson,https://trends.google.ca/trends/explore?q=emma+watson&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Little Women,19,Little women emma watson,https://trends.google.ca/trends/explore?q=little+women+emma+watson&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Little Women,20,Where does little women take place,https://trends.google.ca/trends/explore?q=where+does+little+women+take+place&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Little Women,21,Asos,https://trends.google.ca/trends/explore?q=asos&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Little Women,22,Sexy halloween costume women,https://trends.google.ca/trends/explore?q=sexy+halloween+costume+women&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Little Women,23,Laura dern,https://trends.google.ca/trends/explore?q=laura+dern&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Little Women,24,Aunt march little women,https://trends.google.ca/trends/explore?q=aunt+march+little+women&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Little Women,25,Little women rotten tomatoes,https://trends.google.ca/trends/explore?q=little+women+rotten+tomatoes&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
