Query,Line Number,Seed,Link,Rising Value,Date
 Luffy,1,When does luffy get gear 2,https://trends.google.ca/trends/explore?q=when+does+luffy+get+gear+2&date=now+7-d&geo=CA,Breakout,2024-09-26
 Luffy,2,9anime,https://trends.google.ca/trends/explore?q=9anime&date=now+7-d&geo=CA,Breakout,2024-09-26
 Luffy,3,What episode does luffy meet sabo,https://trends.google.ca/trends/explore?q=what+episode+does+luffy+meet+sabo&date=now+7-d&geo=CA,Breakout,2024-09-26
 Luffy,4,When does luffy use gear 2,https://trends.google.ca/trends/explore?q=when+does+luffy+use+gear+2&date=now+7-d&geo=CA,Breakout,2024-09-26
 Luffy,5,How can luffy use red hawk,https://trends.google.ca/trends/explore?q=how+can+luffy+use+red+hawk&date=now+7-d&geo=CA,Breakout,2024-09-26
 Luffy,6,Which episode luffy use gear 3,https://trends.google.ca/trends/explore?q=which+episode+luffy+use+gear+3&date=now+7-d&geo=CA,Breakout,2024-09-26
 Luffy,7,Which episode luffy use gear 4,https://trends.google.ca/trends/explore?q=which+episode+luffy+use+gear+4&date=now+7-d&geo=CA,Breakout,2024-09-26
 Luffy,8,When does luffy get gear 1,https://trends.google.ca/trends/explore?q=when+does+luffy+get+gear+1&date=now+7-d&geo=CA,Breakout,2024-09-26
 Luffy,9,Lera abova,https://trends.google.ca/trends/explore?q=lera+abova&date=now+7-d&geo=CA,Breakout,2024-09-26
 Luffy,10,Colleen clinkenbeard,https://trends.google.ca/trends/explore?q=colleen+clinkenbeard&date=now+7-d&geo=CA,Breakout,2024-09-26
 Luffy,11,Crocodile one piece,https://trends.google.ca/trends/explore?q=crocodile+one+piece&date=now+7-d&geo=CA,+450%,2024-09-26
 Luffy,12,One piece live-action,https://trends.google.ca/trends/explore?q=one+piece+live-action&date=now+7-d&geo=CA,+400%,2024-09-26
 Luffy,13,Snakeman luffy,https://trends.google.ca/trends/explore?q=snakeman+luffy&date=now+7-d&geo=CA,+350%,2024-09-26
 Luffy,14,Luffy elbaf,https://trends.google.ca/trends/explore?q=luffy+elbaf&date=now+7-d&geo=CA,+300%,2024-09-26
 Luffy,15,Luffy bounty poster,https://trends.google.ca/trends/explore?q=luffy+bounty+poster&date=now+7-d&geo=CA,+200%,2024-09-26
 Luffy,16,Fond d'écran luffy,https://trends.google.ca/trends/explore?q=fond+d'%C3%A9cran+luffy&date=now+7-d&geo=CA,+190%,2024-09-26
 Luffy,17,Luffy meat,https://trends.google.ca/trends/explore?q=luffy+meat&date=now+7-d&geo=CA,+170%,2024-09-26
