Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
M3GAN,1,The ring,https://trends.google.ca/trends/explore?q=the+ring&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
M3GAN,2,Who voiced m3gan,https://trends.google.ca/trends/explore?q=who+voiced+m3gan&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
M3GAN,3,What is m3gan rated,https://trends.google.ca/trends/explore?q=what+is+m3gan+rated&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
M3GAN,4,M3gan dance gif,https://trends.google.ca/trends/explore?q=m3gan+dance+gif&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
M3GAN,5,Where to stream m3gan,https://trends.google.ca/trends/explore?q=where+to+stream+m3gan&date=now+7-d&geo=US,+400%,154,Movie,2024-10-03
M3GAN,6,Jenna davis megan,https://trends.google.ca/trends/explore?q=jenna+davis+megan&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
M3GAN,7,M3gan costume adult,https://trends.google.ca/trends/explore?q=m3gan+costume+adult&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
M3GAN,8,Violet mcgraw movies and tv shows,https://trends.google.ca/trends/explore?q=violet+mcgraw+movies+and+tv+shows&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
M3GAN,9,M3gan gif,https://trends.google.ca/trends/explore?q=m3gan+gif&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
M3GAN,10,123movies,https://trends.google.ca/trends/explore?q=123movies&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
M3GAN,11,M3gan parents guide,https://trends.google.ca/trends/explore?q=m3gan+parents+guide&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
M3GAN,12,Megan halloween costume,https://trends.google.ca/trends/explore?q=megan+halloween+costume&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
M3GAN,13,Malignant,https://trends.google.ca/trends/explore?q=malignant&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
M3GAN,14,Halloween movies,https://trends.google.ca/trends/explore?q=halloween+movies&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
M3GAN,15,Joshua bassett,https://trends.google.ca/trends/explore?q=joshua+bassett&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
M3GAN,16,M3gan fanart,https://trends.google.ca/trends/explore?q=m3gan+fanart&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
M3GAN,17,The black phone 2,https://trends.google.ca/trends/explore?q=the+black+phone+2&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
M3GAN,18,Movies like m3gan,https://trends.google.ca/trends/explore?q=movies+like+m3gan&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
M3GAN,19,M3gan rating,https://trends.google.ca/trends/explore?q=m3gan+rating&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
M3GAN,20,The black phone,https://trends.google.ca/trends/explore?q=the+black+phone&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
M3GAN,21,Stream m3gan,https://trends.google.ca/trends/explore?q=stream+m3gan&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
M3GAN,22,M3gan 2022,https://trends.google.ca/trends/explore?q=m3gan+2022&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
M3GAN,23,M3gan where to watch,https://trends.google.ca/trends/explore?q=m3gan+where+to+watch&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
