Query,Line Number,Seed,Link,Rising Value,Date
 Macbook pro,1,Apple october event 2024,https://trends.google.ca/trends/explore?q=apple+october+event+2024&date=now+7-d&geo=CA,+180%,2024-09-26
 Macbook pro,2,Gaming pc,https://trends.google.ca/trends/explore?q=gaming+pc&date=now+7-d&geo=CA,+110%,2024-09-26
 Macbook pro,3,Apple.ca,https://trends.google.ca/trends/explore?q=apple.ca&date=now+7-d&geo=CA,+90%,2024-09-26
 Macbook pro,4,Best monitor for macbook pro,https://trends.google.ca/trends/explore?q=best+monitor+for+macbook+pro&date=now+7-d&geo=CA,+80%,2024-09-26
 Macbook pro,5,Macbook pro serial number lookup,https://trends.google.ca/trends/explore?q=macbook+pro+serial+number+lookup&date=now+7-d&geo=CA,+70%,2024-09-26
 Macbook pro,6,Macbook pro 2017 charger,https://trends.google.ca/trends/explore?q=macbook+pro+2017+charger&date=now+7-d&geo=CA,+60%,2024-09-26
 Macbook pro,7,Macbook pro 2017 battery replacement,https://trends.google.ca/trends/explore?q=macbook+pro+2017+battery+replacement&date=now+7-d&geo=CA,+60%,2024-09-26
 Macbook pro,8,Macbook pro charger wattage,https://trends.google.ca/trends/explore?q=macbook+pro+charger+wattage&date=now+7-d&geo=CA,+60%,2024-09-26
 Macbook pro,9,Macbook serial number lookup,https://trends.google.ca/trends/explore?q=macbook+serial+number+lookup&date=now+7-d&geo=CA,+50%,2024-09-26
 Macbook pro,10,Macbook pro battery replacement cost,https://trends.google.ca/trends/explore?q=macbook+pro+battery+replacement+cost&date=now+7-d&geo=CA,+40%,2024-09-26
