Line Number,Label Text,Link,Rising Value
1,Entry level marketing jobs toronto,https://trends.google.ca/trends/explore?q=entry+level+marketing+jobs+toronto&date=now+1-d&geo=CA,Breakout
2,Hubspot academy,https://trends.google.ca/trends/explore?q=hubspot+academy&date=now+1-d&geo=CA,Breakout
3,Product marketing alliance,https://trends.google.ca/trends/explore?q=product+marketing+alliance&date=now+1-d&geo=CA,Breakout
4,Marketing digital c'est quoi,https://trends.google.ca/trends/explore?q=marketing+digital+c'est+quoi&date=now+1-d&geo=CA,Breakout
5,Robert half,https://trends.google.ca/trends/explore?q=robert+half&date=now+1-d&geo=CA,Breakout
6,Marketing the core 7th edition,https://trends.google.ca/trends/explore?q=marketing+the+core+7th+edition&date=now+1-d&geo=CA,Breakout
7,Topbox marketing,https://trends.google.ca/trends/explore?q=topbox+marketing&date=now+1-d&geo=CA,Breakout
8,Morris marketing login,https://trends.google.ca/trends/explore?q=morris+marketing+login&date=now+1-d&geo=CA,"+3,900%"
9,Puulse marketing,https://trends.google.ca/trends/explore?q=puulse+marketing&date=now+1-d&geo=CA,+250%
10,Affinity marketing,https://trends.google.ca/trends/explore?q=affinity+marketing&date=now+1-d&geo=CA,+200%
11,Elite promotional marketing,https://trends.google.ca/trends/explore?q=elite+promotional+marketing&date=now+1-d&geo=CA,+180%
12,Leger marketing,https://trends.google.ca/trends/explore?q=leger+marketing&date=now+1-d&geo=CA,+130%
13,Digital marketing business,https://trends.google.ca/trends/explore?q=digital+marketing+business&date=now+1-d&geo=CA,+90%
14,Guerilla marketing,https://trends.google.ca/trends/explore?q=guerilla+marketing&date=now+1-d&geo=CA,+80%
15,Marketing jobs edmonton,https://trends.google.ca/trends/explore?q=marketing+jobs+edmonton&date=now+1-d&geo=CA,+70%
16,Pinterest marketing,https://trends.google.ca/trends/explore?q=pinterest+marketing&date=now+1-d&geo=CA,+70%
