Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Married At First Sight,1,Married at first sight season 13 who is still together,https://trends.google.ca/trends/explore?q=married+at+first+sight+season+13+who+is+still+together&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Married At First Sight,2,Gil from married at first sight,https://trends.google.ca/trends/explore?q=gil+from+married+at+first+sight&date=now+7-d&geo=US,+950%,216,TV Show,2024-10-03
Married At First Sight,3,Vaughn married at first sight,https://trends.google.ca/trends/explore?q=vaughn+married+at+first+sight&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Married At First Sight,4,Cortney and jason married at first sight,https://trends.google.ca/trends/explore?q=cortney+and+jason+married+at+first+sight&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Married At First Sight,5,Cortney hendrix,https://trends.google.ca/trends/explore?q=cortney+hendrix&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Married At First Sight,6,The ultimatum,https://trends.google.ca/trends/explore?q=the+ultimatum&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Married At First Sight,7,Michaela married at first sight instagram,https://trends.google.ca/trends/explore?q=michaela+married+at+first+sight+instagram&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Married At First Sight,8,Kirsten married at first sight instagram,https://trends.google.ca/trends/explore?q=kirsten+married+at+first+sight+instagram&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Married At First Sight,9,Ryan and jessica married at first sight,https://trends.google.ca/trends/explore?q=ryan+and+jessica+married+at+first+sight&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-03
Married At First Sight,10,Love is blind season 6,https://trends.google.ca/trends/explore?q=love+is+blind+season+6&date=now+7-d&geo=US,+180%,216,TV Show,2024-10-03
Married At First Sight,11,Gil married at first sight,https://trends.google.ca/trends/explore?q=gil+married+at+first+sight&date=now+7-d&geo=US,+180%,216,TV Show,2024-10-03
Married At First Sight,12,Love is blind season 7,https://trends.google.ca/trends/explore?q=love+is+blind+season+7&date=now+7-d&geo=US,+170%,216,TV Show,2024-10-03
Married At First Sight,13,Martha kalifatidis,https://trends.google.ca/trends/explore?q=martha+kalifatidis&date=now+7-d&geo=US,+170%,216,TV Show,2024-10-03
Married At First Sight,14,Luke and kate married at first sight,https://trends.google.ca/trends/explore?q=luke+and+kate+married+at+first+sight&date=now+7-d&geo=US,+170%,216,TV Show,2024-10-03
Married At First Sight,15,Jason carrion,https://trends.google.ca/trends/explore?q=jason+carrion&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-03
Married At First Sight,16,Myrla married at first sight,https://trends.google.ca/trends/explore?q=myrla+married+at+first+sight&date=now+7-d&geo=US,+150%,216,TV Show,2024-10-03
Married At First Sight,17,Clint married at first sight instagram,https://trends.google.ca/trends/explore?q=clint+married+at+first+sight+instagram&date=now+7-d&geo=US,+140%,216,TV Show,2024-10-03
Married At First Sight,18,Luke married at first sight,https://trends.google.ca/trends/explore?q=luke+married+at+first+sight&date=now+7-d&geo=US,+140%,216,TV Show,2024-10-03
Married At First Sight,19,Johnny married at first sight,https://trends.google.ca/trends/explore?q=johnny+married+at+first+sight&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
Married At First Sight,20,When does married at first sight come back on,https://trends.google.ca/trends/explore?q=when+does+married+at+first+sight+come+back+on&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
Married At First Sight,21,Married at first sight houston,https://trends.google.ca/trends/explore?q=married+at+first+sight+houston&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
Married At First Sight,22,Married at first sight casting,https://trends.google.ca/trends/explore?q=married+at+first+sight+casting&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
Married At First Sight,23,Bao married at first sight,https://trends.google.ca/trends/explore?q=bao+married+at+first+sight&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Married At First Sight,24,Best reality tv shows,https://trends.google.ca/trends/explore?q=best+reality+tv+shows&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Married At First Sight,25,Married at first sight season 7,https://trends.google.ca/trends/explore?q=married+at+first+sight+season+7&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
