Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Mayor of Kingstown,1,Mayor of kingstown execution,https://trends.google.ca/trends/explore?q=mayor+of+kingstown+execution&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Mayor of Kingstown,2,Mayor of kingstown execution scene,https://trends.google.ca/trends/explore?q=mayor+of+kingstown+execution+scene&date=now+7-d&geo=US,+600%,216,TV Show,2024-10-03
Mayor of Kingstown,3,Is milo dead on mayor of kingstown,https://trends.google.ca/trends/explore?q=is+milo+dead+on+mayor+of+kingstown&date=now+7-d&geo=US,+500%,216,TV Show,2024-10-03
Mayor of Kingstown,4,Apartment 7a,https://trends.google.ca/trends/explore?q=apartment+7a&date=now+7-d&geo=US,+450%,216,TV Show,2024-10-03
Mayor of Kingstown,5,The chi,https://trends.google.ca/trends/explore?q=the+chi&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Mayor of Kingstown,6,Robert sawyer mayor of kingstown,https://trends.google.ca/trends/explore?q=robert+sawyer+mayor+of+kingstown&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-03
Mayor of Kingstown,7,Is there going to be a season 4 of mayor of kingstown,https://trends.google.ca/trends/explore?q=is+there+going+to+be+a+season+4+of+mayor+of+kingstown&date=now+7-d&geo=US,+150%,216,TV Show,2024-10-03
Mayor of Kingstown,8,Peaky blinders,https://trends.google.ca/trends/explore?q=peaky+blinders&date=now+7-d&geo=US,+140%,216,TV Show,2024-10-03
Mayor of Kingstown,9,Mayor of new york city,https://trends.google.ca/trends/explore?q=mayor+of+new+york+city&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
Mayor of Kingstown,10,Jeremy renner fingers,https://trends.google.ca/trends/explore?q=jeremy+renner+fingers&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Mayor of Kingstown,11,Mayor of kingstown new episodes,https://trends.google.ca/trends/explore?q=mayor+of+kingstown+new+episodes&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Mayor of Kingstown,12,Lincoln lawyer season 3,https://trends.google.ca/trends/explore?q=lincoln+lawyer+season+3&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Mayor of Kingstown,13,Michael beach movies and tv shows,https://trends.google.ca/trends/explore?q=michael+beach+movies+and+tv+shows&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Mayor of Kingstown,14,Milo on mayor of kingstown,https://trends.google.ca/trends/explore?q=milo+on+mayor+of+kingstown&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Mayor of Kingstown,15,Hugh dillon movies and tv shows,https://trends.google.ca/trends/explore?q=hugh+dillon+movies+and+tv+shows&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Mayor of Kingstown,16,Callie thorne,https://trends.google.ca/trends/explore?q=callie+thorne&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Mayor of Kingstown,17,Mayor of new york,https://trends.google.ca/trends/explore?q=mayor+of+new+york&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Mayor of Kingstown,18,Hamish allan-headley,https://trends.google.ca/trends/explore?q=hamish+allan-headley&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Mayor of Kingstown,19,Ben morrissey mayor of kingstown,https://trends.google.ca/trends/explore?q=ben+morrissey+mayor+of+kingstown&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
