Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Metal Gear Solid,1,Bloodborne,https://trends.google.ca/trends/explore?q=bloodborne&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Metal Gear Solid,2,The document of metal gear solid 2,https://trends.google.ca/trends/explore?q=the+document+of+metal+gear+solid+2&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
Metal Gear Solid,3,Metal gear solid master collection vol 1,https://trends.google.ca/trends/explore?q=metal+gear+solid+master+collection+vol+1&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
Metal Gear Solid,4,Gamestop,https://trends.google.ca/trends/explore?q=gamestop&date=now+1-d&geo=US,+160%,217,Franchise,2024-10-02
Metal Gear Solid,5,Metal gear solid 4 ps5,https://trends.google.ca/trends/explore?q=metal+gear+solid+4+ps5&date=now+1-d&geo=US,+140%,217,Franchise,2024-10-02
Metal Gear Solid,6,Metal gear solid snake eater remake release date,https://trends.google.ca/trends/explore?q=metal+gear+solid+snake+eater+remake+release+date&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
Metal Gear Solid,7,Metal gear solid games in order,https://trends.google.ca/trends/explore?q=metal+gear+solid+games+in+order&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Metal Gear Solid,8,Metal gear solid v ground zeroes,https://trends.google.ca/trends/explore?q=metal+gear+solid+v+ground+zeroes&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Metal Gear Solid,9,Metal gear peace walker,https://trends.google.ca/trends/explore?q=metal+gear+peace+walker&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Metal Gear Solid,10,Metal gear solid peace walker,https://trends.google.ca/trends/explore?q=metal+gear+solid+peace+walker&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Metal Gear Solid,11,Ghost of tsushima,https://trends.google.ca/trends/explore?q=ghost+of+tsushima&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Metal Gear Solid,12,Metal gear solid twin snakes,https://trends.google.ca/trends/explore?q=metal+gear+solid+twin+snakes&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Metal Gear Solid,13,Metal gear solid legacy collection,https://trends.google.ca/trends/explore?q=metal+gear+solid+legacy+collection&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Metal Gear Solid,14,Metal gear solid master collection vol 2,https://trends.google.ca/trends/explore?q=metal+gear+solid+master+collection+vol+2&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Metal Gear Solid,15,Metal gear solid delta collector's edition,https://trends.google.ca/trends/explore?q=metal+gear+solid+delta+collector's+edition&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Metal Gear Solid,16,Metal gear solid 3 remake,https://trends.google.ca/trends/explore?q=metal+gear+solid+3+remake&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
Metal Gear Solid,17,Metal gear solid ps1 rom,https://trends.google.ca/trends/explore?q=metal+gear+solid+ps1+rom&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
