Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Midnight Mass,1,The new adventures of old christine,https://trends.google.ca/trends/explore?q=the+new+adventures+of+old+christine&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Midnight Mass,2,The killing,https://trends.google.ca/trends/explore?q=the+killing&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Midnight Mass,3,Alexandra essoe,https://trends.google.ca/trends/explore?q=alexandra+essoe&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Midnight Mass,4,Over the garden wall,https://trends.google.ca/trends/explore?q=over+the+garden+wall&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Midnight Mass,5,Midnight mass filming location,https://trends.google.ca/trends/explore?q=midnight+mass+filming+location&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Midnight Mass,6,Mike flannigan,https://trends.google.ca/trends/explore?q=mike+flannigan&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Midnight Mass,7,Where did they film midnight mass,https://trends.google.ca/trends/explore?q=where+did+they+film+midnight+mass&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Midnight Mass,8,What is the angel in midnight mass,https://trends.google.ca/trends/explore?q=what+is+the+angel+in+midnight+mass&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Midnight Mass,9,Alien romulus,https://trends.google.ca/trends/explore?q=alien+romulus&date=now+7-d&geo=US,"+4,950%",216,TV Show,2024-10-03
Midnight Mass,10,Dev patel,https://trends.google.ca/trends/explore?q=dev+patel&date=now+7-d&geo=US,"+3,550%",216,TV Show,2024-10-03
Midnight Mass,11,Who killed pike in midnight mass,https://trends.google.ca/trends/explore?q=who+killed+pike+in+midnight+mass&date=now+7-d&geo=US,"+2,200%",216,TV Show,2024-10-03
Midnight Mass,12,Gerald's game,https://trends.google.ca/trends/explore?q=gerald's+game&date=now+7-d&geo=US,+500%,216,TV Show,2024-10-03
Midnight Mass,13,Riley flynn midnight mass,https://trends.google.ca/trends/explore?q=riley+flynn+midnight+mass&date=now+7-d&geo=US,+400%,216,TV Show,2024-10-03
Midnight Mass,14,Ryan murphy,https://trends.google.ca/trends/explore?q=ryan+murphy&date=now+7-d&geo=US,+400%,216,TV Show,2024-10-03
Midnight Mass,15,Oddity,https://trends.google.ca/trends/explore?q=oddity&date=now+7-d&geo=US,+350%,216,TV Show,2024-10-03
Midnight Mass,16,Behind her eyes,https://trends.google.ca/trends/explore?q=behind+her+eyes&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Midnight Mass,17,Henry thomas movies and tv shows,https://trends.google.ca/trends/explore?q=henry+thomas+movies+and+tv+shows&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Midnight Mass,18,Mildred gunning,https://trends.google.ca/trends/explore?q=mildred+gunning&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Midnight Mass,19,Midnight mass based on stephen king,https://trends.google.ca/trends/explore?q=midnight+mass+based+on+stephen+king&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
