Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
MLB The Show,1,How to get a hold in mlb the show,https://trends.google.ca/trends/explore?q=how+to+get+a+hold+in+mlb+the+show&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
MLB The Show,2,How to get a hold in mlb the show 24,https://trends.google.ca/trends/explore?q=how+to+get+a+hold+in+mlb+the+show+24&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
MLB The Show,3,Playstation servers,https://trends.google.ca/trends/explore?q=playstation+servers&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
MLB The Show,4,Psn down,https://trends.google.ca/trends/explore?q=psn+down&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
MLB The Show,5,What is a hold in baseball,https://trends.google.ca/trends/explore?q=what+is+a+hold+in+baseball&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
MLB The Show,6,What is a hold in mlb the show,https://trends.google.ca/trends/explore?q=what+is+a+hold+in+mlb+the+show&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
MLB The Show,7,Mlb the show hold,https://trends.google.ca/trends/explore?q=mlb+the+show+hold&date=now+7-d&geo=US,"+4,350%",217,Franchise,2024-10-03
MLB The Show,8,Playstation network down,https://trends.google.ca/trends/explore?q=playstation+network+down&date=now+7-d&geo=US,+800%,217,Franchise,2024-10-03
MLB The Show,9,Jon sciambi,https://trends.google.ca/trends/explore?q=jon+sciambi&date=now+7-d&geo=US,+550%,217,Franchise,2024-10-03
MLB The Show,10,Mlb bracket,https://trends.google.ca/trends/explore?q=mlb+bracket&date=now+7-d&geo=US,+450%,217,Franchise,2024-10-03
MLB The Show,11,Will mlb tv show the playoffs,https://trends.google.ca/trends/explore?q=will+mlb+tv+show+the+playoffs&date=now+7-d&geo=US,+350%,217,Franchise,2024-10-03
MLB The Show,12,Mlb playoff bracket,https://trends.google.ca/trends/explore?q=mlb+playoff+bracket&date=now+7-d&geo=US,+300%,217,Franchise,2024-10-03
MLB The Show,13,Psn,https://trends.google.ca/trends/explore?q=psn&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
MLB The Show,14,Mlb playoff schedule,https://trends.google.ca/trends/explore?q=mlb+playoff+schedule&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
MLB The Show,15,Mlb postseason bracket,https://trends.google.ca/trends/explore?q=mlb+postseason+bracket&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
MLB The Show,16,Is mlb the show down,https://trends.google.ca/trends/explore?q=is+mlb+the+show+down&date=now+7-d&geo=US,+190%,217,Franchise,2024-10-03
MLB The Show,17,Mlb the show 24 servers,https://trends.google.ca/trends/explore?q=mlb+the+show+24+servers&date=now+7-d&geo=US,+180%,217,Franchise,2024-10-03
MLB The Show,18,Showzone,https://trends.google.ca/trends/explore?q=showzone&date=now+7-d&geo=US,+170%,217,Franchise,2024-10-03
MLB The Show,19,Mlb playoffs,https://trends.google.ca/trends/explore?q=mlb+playoffs&date=now+7-d&geo=US,+170%,217,Franchise,2024-10-03
