Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Moana,1,Moana american girl doll,https://trends.google.ca/trends/explore?q=moana+american+girl+doll&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Moana,2,American girl moana,https://trends.google.ca/trends/explore?q=american+girl+moana&date=now+7-d&geo=US,"+3,800%",154,Movie,2024-10-03
Moana,3,Phillipa soo movies and tv shows,https://trends.google.ca/trends/explore?q=phillipa+soo+movies+and+tv+shows&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Moana,4,How old was moana in the first movie,https://trends.google.ca/trends/explore?q=how+old+was+moana+in+the+first+movie&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Moana,5,Moana doll,https://trends.google.ca/trends/explore?q=moana+doll&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Moana,6,Moana 2 toys,https://trends.google.ca/trends/explore?q=moana+2+toys&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Moana,7,Phillipa soo,https://trends.google.ca/trends/explore?q=phillipa+soo&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Moana,8,Moana 2 tickets,https://trends.google.ca/trends/explore?q=moana+2+tickets&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Moana,9,Moana two release date,https://trends.google.ca/trends/explore?q=moana+two+release+date&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Moana,10,What is moana 2 about,https://trends.google.ca/trends/explore?q=what+is+moana+2+about&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Moana,11,Venom the last dance,https://trends.google.ca/trends/explore?q=venom+the+last+dance&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Moana,12,Smile 2,https://trends.google.ca/trends/explore?q=smile+2&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Moana,13,Movies coming out in october 2024,https://trends.google.ca/trends/explore?q=movies+coming+out+in+october+2024&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
