Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Moon Knight,1,Will there be another season of moon knight,https://trends.google.ca/trends/explore?q=will+there+be+another+season+of+moon+knight&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-01
Moon Knight,2,Moon knight post credit scene,https://trends.google.ca/trends/explore?q=moon+knight+post+credit+scene&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-01
Moon Knight,3,Moon knight episode 3,https://trends.google.ca/trends/explore?q=moon+knight+episode+3&date=now+7-d&geo=US,+350%,216,TV Show,2024-10-01
Moon Knight,4,Ammit god,https://trends.google.ca/trends/explore?q=ammit+god&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-01
Moon Knight,5,Oscar isaac movies and tv shows,https://trends.google.ca/trends/explore?q=oscar+isaac+movies+and+tv+shows&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-01
Moon Knight,6,What if season 3,https://trends.google.ca/trends/explore?q=what+if+season+3&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-01
Moon Knight,7,Moon knight tv tropes,https://trends.google.ca/trends/explore?q=moon+knight+tv+tropes&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-01
Moon Knight,8,Moon knight ammit,https://trends.google.ca/trends/explore?q=moon+knight+ammit&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-01
Moon Knight,9,Ammit,https://trends.google.ca/trends/explore?q=ammit&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-01
Moon Knight,10,Can moon knight fly,https://trends.google.ca/trends/explore?q=can+moon+knight+fly&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-01
Moon Knight,11,Gaspard ulliel,https://trends.google.ca/trends/explore?q=gaspard+ulliel&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-01
Moon Knight,12,Secret invasion,https://trends.google.ca/trends/explore?q=secret+invasion&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-01
Moon Knight,13,Shang chi 2,https://trends.google.ca/trends/explore?q=shang+chi+2&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-01
Moon Knight,14,Moon knight ending explained,https://trends.google.ca/trends/explore?q=moon+knight+ending+explained&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-01
Moon Knight,15,Moon knight all personalities,https://trends.google.ca/trends/explore?q=moon+knight+all+personalities&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-01
Moon Knight,16,Gaspard ulliel moon knight,https://trends.google.ca/trends/explore?q=gaspard+ulliel+moon+knight&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-01
Moon Knight,17,Marvel rivals,https://trends.google.ca/trends/explore?q=marvel+rivals&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-01
Moon Knight,18,Moonight,https://trends.google.ca/trends/explore?q=moonight&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-01
Moon Knight,19,Moon knight first appearance,https://trends.google.ca/trends/explore?q=moon+knight+first+appearance&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-01
Moon Knight,20,Where can i watch moon knight,https://trends.google.ca/trends/explore?q=where+can+i+watch+moon+knight&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-01
Moon Knight,21,Moon knight reading order,https://trends.google.ca/trends/explore?q=moon+knight+reading+order&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-01
Moon Knight,22,Konshu,https://trends.google.ca/trends/explore?q=konshu&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-01
Moon Knight,23,Why does moon knight have multiple personalities,https://trends.google.ca/trends/explore?q=why+does+moon+knight+have+multiple+personalities&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-01
Moon Knight,24,Moon knight jake,https://trends.google.ca/trends/explore?q=moon+knight+jake&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-01
Moon Knight,25,Moon knight jake lockley,https://trends.google.ca/trends/explore?q=moon+knight+jake+lockley&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-01
