Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
My Adventures With Superman,1,Is my adventures with superman anime,https://trends.google.ca/trends/explore?q=is+my+adventures+with+superman+anime&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
My Adventures With Superman,2,Michael emerson,https://trends.google.ca/trends/explore?q=michael+emerson&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
My Adventures With Superman,3,My adventures with superman deathstroke,https://trends.google.ca/trends/explore?q=my+adventures+with+superman+deathstroke&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
My Adventures With Superman,4,My adventures with superman season 3 release date,https://trends.google.ca/trends/explore?q=my+adventures+with+superman+season+3+release+date&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-03
My Adventures With Superman,5,Jack quaid,https://trends.google.ca/trends/explore?q=jack+quaid&date=now+7-d&geo=US,+180%,216,TV Show,2024-10-03
My Adventures With Superman,6,The boys,https://trends.google.ca/trends/explore?q=the+boys&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
My Adventures With Superman,7,Livewire my adventures with superman,https://trends.google.ca/trends/explore?q=livewire+my+adventures+with+superman&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
My Adventures With Superman,8,My adventures with superman tumblr,https://trends.google.ca/trends/explore?q=my+adventures+with+superman+tumblr&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
My Adventures With Superman,9,Clark kent my adventures with superman,https://trends.google.ca/trends/explore?q=clark+kent+my+adventures+with+superman&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
My Adventures With Superman,10,Alice lee,https://trends.google.ca/trends/explore?q=alice+lee&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
My Adventures With Superman,11,My adventures with superman tv tropes,https://trends.google.ca/trends/explore?q=my+adventures+with+superman+tv+tropes&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
My Adventures With Superman,12,My adventures with superman wiki,https://trends.google.ca/trends/explore?q=my+adventures+with+superman+wiki&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
