Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Naruto,1,Naruto movie 2024,https://trends.google.ca/trends/explore?q=naruto+movie+2024&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Naruto,2,Naruto new movie,https://trends.google.ca/trends/explore?q=naruto+new+movie&date=now+1-d&geo=US,+950%,217,Franchise,2024-10-02
Naruto,3,Naruto shippuden español latino netflix,https://trends.google.ca/trends/explore?q=naruto+shippuden+espa%C3%B1ol+latino+netflix&date=now+1-d&geo=US,+180%,217,Franchise,2024-10-02
Naruto,4,Pain from naruto,https://trends.google.ca/trends/explore?q=pain+from+naruto&date=now+1-d&geo=US,+140%,217,Franchise,2024-10-02
Naruto,5,Bleach vs naruto 3.3,https://trends.google.ca/trends/explore?q=bleach+vs+naruto+3.3&date=now+1-d&geo=US,+140%,217,Franchise,2024-10-02
Naruto,6,Sakura haruno,https://trends.google.ca/trends/explore?q=sakura+haruno&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Naruto,7,Izanami naruto,https://trends.google.ca/trends/explore?q=izanami+naruto&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
Naruto,8,Naruto villages,https://trends.google.ca/trends/explore?q=naruto+villages&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Naruto,9,Naruto shippuden doblaje latino,https://trends.google.ca/trends/explore?q=naruto+shippuden+doblaje+latino&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Naruto,10,Asuma naruto,https://trends.google.ca/trends/explore?q=asuma+naruto&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Naruto,11,Izanami,https://trends.google.ca/trends/explore?q=izanami&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Naruto,12,Darui naruto,https://trends.google.ca/trends/explore?q=darui+naruto&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Naruto,13,Naruto shoes,https://trends.google.ca/trends/explore?q=naruto+shoes&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Naruto,14,9anime,https://trends.google.ca/trends/explore?q=9anime&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Naruto,15,Sakura & naruto angelyeah,https://trends.google.ca/trends/explore?q=sakura+%26+naruto+angelyeah&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Naruto,16,When did naruto shippuden end,https://trends.google.ca/trends/explore?q=when+did+naruto+shippuden+end&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Naruto,17,Naruto shippuden characters,https://trends.google.ca/trends/explore?q=naruto+shippuden+characters&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Naruto,18,Blue bird naruto,https://trends.google.ca/trends/explore?q=blue+bird+naruto&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Naruto,19,Naruto shippuden netflix,https://trends.google.ca/trends/explore?q=naruto+shippuden+netflix&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Naruto,20,Karin naruto,https://trends.google.ca/trends/explore?q=karin+naruto&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Naruto,21,Naruto vs bleach unblocked,https://trends.google.ca/trends/explore?q=naruto+vs+bleach+unblocked&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Naruto,22,Naruto movie,https://trends.google.ca/trends/explore?q=naruto+movie&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
Naruto,23,Naruto halloween costume,https://trends.google.ca/trends/explore?q=naruto+halloween+costume&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
