Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
One Piece,1,Doku doku no mi,https://trends.google.ca/trends/explore?q=doku+doku+no+mi&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
One Piece,2,Hanafuda one piece,https://trends.google.ca/trends/explore?q=hanafuda+one+piece&date=now+1-d&geo=US,"+1,000%",217,Franchise,2024-10-02
One Piece,3,Hanafuda,https://trends.google.ca/trends/explore?q=hanafuda&date=now+1-d&geo=US,+900%,217,Franchise,2024-10-02
One Piece,4,Seiko one piece,https://trends.google.ca/trends/explore?q=seiko+one+piece&date=now+1-d&geo=US,+130%,217,Franchise,2024-10-02
One Piece,5,The return of ace one piece,https://trends.google.ca/trends/explore?q=the+return+of+ace+one+piece&date=now+1-d&geo=US,+110%,217,Franchise,2024-10-02
One Piece,6,Miniso one piece,https://trends.google.ca/trends/explore?q=miniso+one+piece&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
One Piece,7,How many volumes of one piece,https://trends.google.ca/trends/explore?q=how+many+volumes+of+one+piece&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
One Piece,8,Read one piece 1128,https://trends.google.ca/trends/explore?q=read+one+piece+1128&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
One Piece,9,Miniso,https://trends.google.ca/trends/explore?q=miniso&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
One Piece,10,One piece writing meme,https://trends.google.ca/trends/explore?q=one+piece+writing+meme&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
