Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Onward,1,Detach,https://trends.google.ca/trends/explore?q=detach&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Onward,2,Wardon,https://trends.google.ca/trends/explore?q=wardon&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Onward,3,Fathom,https://trends.google.ca/trends/explore?q=fathom&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Onward,4,Strange world,https://trends.google.ca/trends/explore?q=strange+world&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Onward,5,Sensex today,https://trends.google.ca/trends/explore?q=sensex+today&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Onward,6,Tata motors share price,https://trends.google.ca/trends/explore?q=tata+motors+share+price&date=now+7-d&geo=US,"+4,550%",154,Movie,2024-10-03
Onward,7,Onwa,https://trends.google.ca/trends/explore?q=onwa&date=now+7-d&geo=US,"+3,400%",154,Movie,2024-10-03
Onward,8,Ornery,https://trends.google.ca/trends/explore?q=ornery&date=now+7-d&geo=US,+650%,154,Movie,2024-10-03
Onward,9,Ian from onward,https://trends.google.ca/trends/explore?q=ian+from+onward&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Onward,10,Octavia spencer,https://trends.google.ca/trends/explore?q=octavia+spencer&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Onward,11,Onward ho,https://trends.google.ca/trends/explore?q=onward+ho&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Onward,12,Orvis,https://trends.google.ca/trends/explore?q=orvis&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Onward,13,Onward behavioral health,https://trends.google.ca/trends/explore?q=onward+behavioral+health&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Onward,14,Onward app,https://trends.google.ca/trends/explore?q=onward+app&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
