Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Oppenheimer,1,J robert oppenheimer cause of death,https://trends.google.ca/trends/explore?q=j+robert+oppenheimer+cause+of+death&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Oppenheimer,2,Born oppenheimer approximation,https://trends.google.ca/trends/explore?q=born+oppenheimer+approximation&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Oppenheimer,3,Devon bostick oppenheimer,https://trends.google.ca/trends/explore?q=devon+bostick+oppenheimer&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Oppenheimer,4,Dylan arnold,https://trends.google.ca/trends/explore?q=dylan+arnold&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Oppenheimer,5,Oppenheimer & co. inc,https://trends.google.ca/trends/explore?q=oppenheimer+%26+co.+inc&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Oppenheimer,6,Watch oppenheimer online free,https://trends.google.ca/trends/explore?q=watch+oppenheimer+online+free&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Oppenheimer,7,Richard feynman,https://trends.google.ca/trends/explore?q=richard+feynman&date=now+1-d&geo=US,+550%,154,Movie,2024-10-02
Oppenheimer,8,Did oppenheimer win any awards,https://trends.google.ca/trends/explore?q=did+oppenheimer+win+any+awards&date=now+1-d&geo=US,+250%,154,Movie,2024-10-02
Oppenheimer,9,Where was oppenheimer born,https://trends.google.ca/trends/explore?q=where+was+oppenheimer+born&date=now+1-d&geo=US,+190%,154,Movie,2024-10-02
Oppenheimer,10,Oppenheimer score,https://trends.google.ca/trends/explore?q=oppenheimer+score&date=now+1-d&geo=US,+180%,154,Movie,2024-10-02
Oppenheimer,11,Charles oppenheimer,https://trends.google.ca/trends/explore?q=charles+oppenheimer&date=now+1-d&geo=US,+170%,154,Movie,2024-10-02
Oppenheimer,12,Hiroshima bombing,https://trends.google.ca/trends/explore?q=hiroshima+bombing&date=now+1-d&geo=US,+160%,154,Movie,2024-10-02
Oppenheimer,13,Ernest lawrence,https://trends.google.ca/trends/explore?q=ernest+lawrence&date=now+1-d&geo=US,+160%,154,Movie,2024-10-02
Oppenheimer,14,Peaky blinders,https://trends.google.ca/trends/explore?q=peaky+blinders&date=now+1-d&geo=US,+150%,154,Movie,2024-10-02
Oppenheimer,15,Oppenheimer director,https://trends.google.ca/trends/explore?q=oppenheimer+director&date=now+1-d&geo=US,+110%,154,Movie,2024-10-02
Oppenheimer,16,Oppenheimer person,https://trends.google.ca/trends/explore?q=oppenheimer+person&date=now+1-d&geo=US,+100%,154,Movie,2024-10-02
Oppenheimer,17,Oppenheimer soundtrack,https://trends.google.ca/trends/explore?q=oppenheimer+soundtrack&date=now+1-d&geo=US,+100%,154,Movie,2024-10-02
Oppenheimer,18,Is oppenheimer a true story,https://trends.google.ca/trends/explore?q=is+oppenheimer+a+true+story&date=now+1-d&geo=US,+100%,154,Movie,2024-10-02
Oppenheimer,19,Megan oppenheimer,https://trends.google.ca/trends/explore?q=megan+oppenheimer&date=now+1-d&geo=US,+90%,154,Movie,2024-10-02
Oppenheimer,20,How long is oppenheimer,https://trends.google.ca/trends/explore?q=how+long+is+oppenheimer&date=now+1-d&geo=US,+90%,154,Movie,2024-10-02
Oppenheimer,21,Meaghan oppenheimer,https://trends.google.ca/trends/explore?q=meaghan+oppenheimer&date=now+1-d&geo=US,+80%,154,Movie,2024-10-02
Oppenheimer,22,Oppenheimer book,https://trends.google.ca/trends/explore?q=oppenheimer+book&date=now+1-d&geo=US,+80%,154,Movie,2024-10-02
Oppenheimer,23,Oppenheimer & co,https://trends.google.ca/trends/explore?q=oppenheimer+%26+co&date=now+1-d&geo=US,+80%,154,Movie,2024-10-02
Oppenheimer,24,Tell me lies,https://trends.google.ca/trends/explore?q=tell+me+lies&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
Oppenheimer,25,Oppenheimer quote,https://trends.google.ca/trends/explore?q=oppenheimer+quote&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
