Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Outlander,1,Toby stephens,https://trends.google.ca/trends/explore?q=toby+stephens&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Outlander,2,Chris larkin,https://trends.google.ca/trends/explore?q=chris+larkin&date=now+7-d&geo=US,"+4,750%",216,TV Show,2024-10-03
Outlander,3,Chris larkin outlander,https://trends.google.ca/trends/explore?q=chris+larkin+outlander&date=now+7-d&geo=US,"+4,550%",216,TV Show,2024-10-03
Outlander,4,Richard brown outlander,https://trends.google.ca/trends/explore?q=richard+brown+outlander&date=now+7-d&geo=US,"+1,350%",216,TV Show,2024-10-03
Outlander,5,Outlander ending,https://trends.google.ca/trends/explore?q=outlander+ending&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
Outlander,6,When does outlander return 2024,https://trends.google.ca/trends/explore?q=when+does+outlander+return+2024&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
Outlander,7,Outlander final season,https://trends.google.ca/trends/explore?q=outlander+final+season&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Outlander,8,Lems outlander,https://trends.google.ca/trends/explore?q=lems+outlander&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Outlander,9,How does outlander end,https://trends.google.ca/trends/explore?q=how+does+outlander+end&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Outlander,10,Is outlander over,https://trends.google.ca/trends/explore?q=is+outlander+over&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Outlander,11,When does the new season of outlander start,https://trends.google.ca/trends/explore?q=when+does+the+new+season+of+outlander+start&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Outlander,12,Outlander costumes,https://trends.google.ca/trends/explore?q=outlander+costumes&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Outlander,13,Duncan lacroix,https://trends.google.ca/trends/explore?q=duncan+lacroix&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Outlander,14,Last season of outlander,https://trends.google.ca/trends/explore?q=last+season+of+outlander&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
