Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Paranormal Activity,1,Apartment 7a,https://trends.google.ca/trends/explore?q=apartment+7a&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Paranormal Activity,2,Jason blum,https://trends.google.ca/trends/explore?q=jason+blum&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Paranormal Activity,3,Paranormal activity 1 watch online free,https://trends.google.ca/trends/explore?q=paranormal+activity+1+watch+online+free&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Paranormal Activity,4,Is paranormal activity real footage,https://trends.google.ca/trends/explore?q=is+paranormal+activity+real+footage&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Paranormal Activity,5,Unknown dimension the story of paranormal activity,https://trends.google.ca/trends/explore?q=unknown+dimension+the+story+of+paranormal+activity&date=now+7-d&geo=US,+400%,217,Franchise,2024-10-03
Paranormal Activity,6,Best halloween movies,https://trends.google.ca/trends/explore?q=best+halloween+movies&date=now+7-d&geo=US,+350%,217,Franchise,2024-10-03
Paranormal Activity,7,Paranormal activity movies explained,https://trends.google.ca/trends/explore?q=paranormal+activity+movies+explained&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Paranormal Activity,8,The marked one paranormal activity,https://trends.google.ca/trends/explore?q=the+marked+one+paranormal+activity&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
Paranormal Activity,9,Paranormal activity budget and profit,https://trends.google.ca/trends/explore?q=paranormal+activity+budget+and+profit&date=now+7-d&geo=US,+190%,217,Franchise,2024-10-03
Paranormal Activity,10,Rosemary's baby,https://trends.google.ca/trends/explore?q=rosemary's+baby&date=now+7-d&geo=US,+180%,217,Franchise,2024-10-03
Paranormal Activity,11,Paranormal activity 5 the marked ones,https://trends.google.ca/trends/explore?q=paranormal+activity+5+the+marked+ones&date=now+7-d&geo=US,+170%,217,Franchise,2024-10-03
Paranormal Activity,12,The marked one,https://trends.google.ca/trends/explore?q=the+marked+one&date=now+7-d&geo=US,+170%,217,Franchise,2024-10-03
Paranormal Activity,13,The thing,https://trends.google.ca/trends/explore?q=the+thing&date=now+7-d&geo=US,+160%,217,Franchise,2024-10-03
Paranormal Activity,14,It follows,https://trends.google.ca/trends/explore?q=it+follows&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
Paranormal Activity,15,Hocus pocus,https://trends.google.ca/trends/explore?q=hocus+pocus&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
Paranormal Activity,16,Marked ones paranormal activity,https://trends.google.ca/trends/explore?q=marked+ones+paranormal+activity&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
Paranormal Activity,17,Marked ones,https://trends.google.ca/trends/explore?q=marked+ones&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
Paranormal Activity,18,Paranormal activity movies ranked,https://trends.google.ca/trends/explore?q=paranormal+activity+movies+ranked&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-03
Paranormal Activity,19,Paranormal the marked ones,https://trends.google.ca/trends/explore?q=paranormal+the+marked+ones&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-03
Paranormal Activity,20,Paranormal activity the marked ones,https://trends.google.ca/trends/explore?q=paranormal+activity+the+marked+ones&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-03
Paranormal Activity,21,The marked ones,https://trends.google.ca/trends/explore?q=the+marked+ones&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-03
Paranormal Activity,22,Paranormal activity the marked ones explained,https://trends.google.ca/trends/explore?q=paranormal+activity+the+marked+ones+explained&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-03
Paranormal Activity,23,The curse of la llorona,https://trends.google.ca/trends/explore?q=the+curse+of+la+llorona&date=now+7-d&geo=US,+120%,217,Franchise,2024-10-03
Paranormal Activity,24,Nightmare on elm street,https://trends.google.ca/trends/explore?q=nightmare+on+elm+street&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
Paranormal Activity,25,Paranormal activity timeline,https://trends.google.ca/trends/explore?q=paranormal+activity+timeline&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
