Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Parks and Recreation,1,Swanson of parks and recreation crossword clue,https://trends.google.ca/trends/explore?q=swanson+of+parks+and+recreation+crossword+clue&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Parks and Recreation,2,Nyc parks and recreation centers,https://trends.google.ca/trends/explore?q=nyc+parks+and+recreation+centers&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Parks and Recreation,3,Ron from parks and recreation,https://trends.google.ca/trends/explore?q=ron+from+parks+and+recreation&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Parks and Recreation,4,Pg parks and recreation jobs,https://trends.google.ca/trends/explore?q=pg+parks+and+recreation+jobs&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Parks and Recreation,5,Oakland county parks and recreation millage,https://trends.google.ca/trends/explore?q=oakland+county+parks+and+recreation+millage&date=now+7-d&geo=US,+750%,216,TV Show,2024-10-03
Parks and Recreation,6,Pinellas county parks and recreation,https://trends.google.ca/trends/explore?q=pinellas+county+parks+and+recreation&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Parks and Recreation,7,City of henderson parks and recreation,https://trends.google.ca/trends/explore?q=city+of+henderson+parks+and+recreation&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Parks and Recreation,8,Dax shepard,https://trends.google.ca/trends/explore?q=dax+shepard&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Parks and Recreation,9,Arizona parks and recreation association,https://trends.google.ca/trends/explore?q=arizona+parks+and+recreation+association&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Parks and Recreation,10,City of laredo parks and recreation,https://trends.google.ca/trends/explore?q=city+of+laredo+parks+and+recreation&date=now+7-d&geo=US,+170%,216,TV Show,2024-10-03
Parks and Recreation,11,Concord parks and recreation,https://trends.google.ca/trends/explore?q=concord+parks+and+recreation&date=now+7-d&geo=US,+140%,216,TV Show,2024-10-03
Parks and Recreation,12,Lakeland parks and recreation,https://trends.google.ca/trends/explore?q=lakeland+parks+and+recreation&date=now+7-d&geo=US,+140%,216,TV Show,2024-10-03
Parks and Recreation,13,Illinois parks and recreation jobs,https://trends.google.ca/trends/explore?q=illinois+parks+and+recreation+jobs&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
Parks and Recreation,14,City of austin parks and recreation,https://trends.google.ca/trends/explore?q=city+of+austin+parks+and+recreation&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
Parks and Recreation,15,Bakersfield parks and recreation,https://trends.google.ca/trends/explore?q=bakersfield+parks+and+recreation&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Parks and Recreation,16,Sarasota parks and recreation,https://trends.google.ca/trends/explore?q=sarasota+parks+and+recreation&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
Parks and Recreation,17,Chatham county parks and recreation,https://trends.google.ca/trends/explore?q=chatham+county+parks+and+recreation&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
Parks and Recreation,18,Sarasota county parks and recreation,https://trends.google.ca/trends/explore?q=sarasota+county+parks+and+recreation&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
Parks and Recreation,19,Decatur parks and recreation,https://trends.google.ca/trends/explore?q=decatur+parks+and+recreation&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Parks and Recreation,20,City of tucson parks and recreation,https://trends.google.ca/trends/explore?q=city+of+tucson+parks+and+recreation&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Parks and Recreation,21,Harris county parks and recreation,https://trends.google.ca/trends/explore?q=harris+county+parks+and+recreation&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Parks and Recreation,22,Gwinnett county parks and recreation,https://trends.google.ca/trends/explore?q=gwinnett+county+parks+and+recreation&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Parks and Recreation,23,Williamson county parks and recreation,https://trends.google.ca/trends/explore?q=williamson+county+parks+and+recreation&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Parks and Recreation,24,Coquille parks and recreation,https://trends.google.ca/trends/explore?q=coquille+parks+and+recreation&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Parks and Recreation,25,Somerville parks and recreation,https://trends.google.ca/trends/explore?q=somerville+parks+and+recreation&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
